Показатель,value_float
"Выручка, млрд руб",1101.0
"Операционная прибыль, млрд руб",33.5
"EBITDA, млрд руб",136.1
"Чистая прибыль, млрд руб",73.2
"Опер.денежный поток, млрд руб",44.0
"CAPEX, млрд руб",124.5
"FCF, млрд руб",-114.9
"Див доход, ао, %",0.0
"Дивиденды/прибыль, %",0.0
"Опер. расходы, млрд руб",140.6
"Себестоимость, млрд руб",843.9
"Амортизация, млрд руб",49.0
"Расх на персонал, млрд руб",66.7
"Процентные расходы, млрд руб",38.0
"Активы, млрд руб",2023.0
"Чистые активы, млрд руб",1022.0
"Долг, млрд руб",721.5
"Наличность, млрд руб",137.0
"Чистый долг, млрд руб",584.5
"Цена акции ао, руб",36.8
"Число акций ао, млн",15193.0
"Free Float, %",17.6
"Капитализация, млрд руб",558.3
"EV, млрд руб",1143.0
"Баланс стоимость, млрд руб",821.4
"EPS, руб",4.82
"FCF/акцию, руб",-7.56
"BV/акцию, руб",54.1
"Рентаб EBITDA, %",12.4
"Чистая рентаб, %",6.6
"Доходность FCF, %",-20.6
"ROE, %",7.2
"ROA, %",3.6
P/E,7.63
P/FCF,-4.86
P/S,0.51
P/BV,0.68
EV/EBITDA,8.4
Долг/EBITDA,4.29
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",11.0
IR рейтинг,2.0
Качество фин.отчетности,4.0
Презентации для инвесторов,4.0
Присутствие на смартлабе,1.0
Годовой отчет,1.0
Сайт для инвесторов,2.0
Календарь инвесторов,1.0
Обратная связь,1.0
