Показатель,value_float
"Чистый операц доход, млрд руб",3819.0
"Чист. проц. доходы, млрд руб",3000.0
"Чист. комисс. доход, млрд руб",842.9
"Доходы по цб, млрд руб",-23.5
"Число клиентов, млн",109.9
"Чистая прибыль, млрд руб",1580.0
"Див.выплата, млрд руб",786.9
"Дивиденд, руб/акцию",34.84
"Див доход, ао, %",12.5
"Дивиденд ап, руб/акцию",34.84
"Див доход, ап, %",12.5
"Дивиденды/прибыль, %",50.0
"Опер. расходы, млрд руб",1063.0
"Расх на персонал, млрд руб",668.9
"Процентные расходы, млрд руб",4368.0
"Создание резервов, млрд руб",413.0
"Наличность, млрд руб",2252.0
"Чистый долг, млрд руб",-2252.0
"Активы банка, млрд руб",60855.0
"Капитал, млрд руб",7176.0
"Кредитный портфель, млрд руб",40921.0
"Кредиты юрлицам, млрд руб",23716.0
"Кредиты физлицам, млрд руб",17206.0
"Депозиты, млрд руб",44623.0
"Депозиты юрлиц, млрд руб",16801.0
"Депозиты физлиц, млрд руб",27822.0
"Дост.осн капитала, %",12.9
"Дост. общ капитала, %",12.8
"Стоимость риска, %",1.0
"Loan-to-deposit ratio, %",92.0
"Просроченные кредиты, NPL, %",3.7
"Цена акции ао, руб",279.2
"Число акций ао, млн",21587.0
"Цена акции ап, руб",279.4
"Число акций ап, млн",1000.0
"Капитализация, млрд руб",6305.0
"EV, млрд руб",4053.0
"EPS, руб",73.2
"ROE, %",24.0
"ROA, %",2.8
"Чистая процентная маржа, %",6.0
"Рентабельность банка, %",41.4
P/E,3.99
P/B,0.88
"Персонал, чел",308092.0
"Произв.труда, млн руб/чел/год",12.4
"Расходы/чел/год, тыс.р",2171.0
IR рейтинг,4.6
Качество фин.отчетности,5.0
Презентации для инвесторов,5.0
Присутствие на смартлабе,2.0
Годовой отчет,5.0
Сайт для инвесторов,5.0
Календарь инвесторов,5.0
Обратная связь,5.0
