id,date,text,tickers,tickers_from_tags,tickers_from_keywords,has_media,ticker,company_name,industry,news_type
69804,2025-04-14 14:56:24+00:00,"**👍**** Что было сегодня
**
**🖨 ПИК: **[**МСФО **](https://t.me/cbrstocks/69784)**2024**
Чистая прибыль 28.66 млрд руб (-46% г/г)

**🇨🇳**** Экспорт Китая в марте **[**вырос **](https://t.me/cbrstocks/69789)**на 12.4% г/г (прогноз +4.4%)**

🇺🇸🇷🇺 **Возможность встречи президентов РФ и США на встрече Путина и Уиткоффа**[** не обсуждалась**](https://t.me/cbrstocks/69792) — Пресс-секретарь президента РФ Песков

🇪🇺🇷🇺 **ЕС **[**планирует**](https://t.me/cbrstocks/69793)** обнародовать в мае дорожную карту по поэтапному отказу от российского топлива**  — Reuters

**💩**** GMV ""М.Видео-Эльдорадо"" по итогам 2024г **[**вырос**](https://t.me/cbrstocks/69795)** на 5% — презентация**

🇪🇺 **Ведущие энергетические компании ЕС **[**допустили **](https://t.me/cbrstocks/69796)**частичное возвращение к импорту газа от Газпрома и Новатэка** — Reuters

🇪🇺 **ЕС**[** хочет**](https://t.me/cbrstocks/69797)** в 2025 году начать в полном объеме переговоры с Украиной о присоединении к союзу** — министр иностранных дел Венгрии Сийярто

**🏠**** ПИК**[** снизил**](https://t.me/cbrstocks/69799)** EBITDA на 13% в 2024 году, до 92 млрд руб** — ТАСС[

](https://www.reuters.com/business/energy/back-russian-gas-trump-wary-eu-has-energy-security-dilemma-2025-04-14/)🇪🇺🇷🇺 **В рaмкaх 17-гo пaкетa сaнкций прoтив РФ **[**oбсуждaются **](https://t.me/cbrstocks/69801)**oгрaничения нa ""нефть и гaз"", нo для их утверждения нужнo сoглaсие всех 27 стрaн сoюзa **— глава дипломатии ЕС Каллас

🇪🇺🇺🇸 **ЕС **[**приостанавливает**](https://t.me/cbrstocks/69803)** с 14 апреля на 3 месяца ответные меры в отношении импорта из США **— ЕК","['LKOH', 'MVID', 'SIBN', 'SNGS', 'GAZP', 'TATN', 'NVTK', 'ROSN']",[],"['GAZP', 'LKOH', 'ROSN', 'TATN', 'SNGS', 'NVTK', 'MVID', 'SIBN']",False,MVID,М.Видео,розничная торговля,industry
69795,2025-04-14 11:36:58+00:00,"#MVID
GMV ""М.Видео-Эльдорадо"" по итогам 2024г вырос на 5% — презентация",['MVID'],['MVID'],['MVID'],False,MVID,М.Видео,розничная торговля,company_specific
69426,2025-04-03 06:48:24+00:00,"#SPBE
СПБ Биржа добавит 15 новых бумаг к торгам выходного дня c 4 апреля

#RTKM #MVID #BELU #WUSH #UNAC #MGKL #SVAV #ABIO #CARM #SOFL #NMTP #GTRK #OGKB #TGKA #ELFV",['MVID'],['MVID'],[],False,MVID,М.Видео,розничная торговля,company_specific
69302,2025-03-31 15:05:27+00:00,"#SFIN #MVID
Дочерняя компания ПАО «ЭсЭфАй» – «ЭсЭфАй Кэпитал» – стала владельцем доли холдинга в ПАО «М.видео»",['MVID'],['MVID'],['MVID'],False,MVID,М.Видео,розничная торговля,company_specific
69046,2025-03-21 07:42:32+00:00,"**Вопрос от подписчика - что делать с бумагами ВКонтакте?**

__Ответ: В самом начале оговоримся и определим важный момент, я высказываю свою точку зрения и как вижу все это в данный момент__

1)Техника в бумаге.
На графике жёлтым пунктиром обозначена формация двойная вершина на тайминге ТА-1Н - это медвежий паттерн и в случае пробоя данной формации открывается цель на 240 минимум предыдущего снижения.

2) Фундаментал
Объявили дополнительное размещение выше 100 миллиардов, что больше текущей капитализации.
Если посмотреть на бизнес модель, то она мне абсолютно не симпатична, так как было три года на развитие в тепличных условиях и с поддержкой государства, а по факту странные покупки без интересных собственных идей. Если компания погасит долг, то возникнет эффект низкой базы, но пока об этом говорить рано.

3)Выход ликвидности
За сутки из бумаги ушло👇
📅 Данные VKCO за сегодня на 10:00
Покупки: 867.8 млн руб
Продажи: 1123.5 млн руб
Дельта: -255.7 млн руб

Накопленные данные за 2 дней
Покупки: 6415.4 млн руб
Продажи: 7922.8 млн руб
Дельта: -1506.9 млн руб

Выход более 1,5 миллиарда рублей чистыми за сутки это очень много для данной бумаги.

Вывод:
Лично я не готов ловить этот падающий нож в данный момент и шортить тоже не рекомендую, так как выносы вверх возможны.

**Дельту смотрю в Шпионе. Подключить и следить за действиями продавцов и покупателей
**https://t.me/stockspy_bot?start=promo_bt10**

☝ Для вас со скидкой**",['MVID'],[],['MVID'],True,MVID,М.Видео,розничная торговля,industry
68942,2025-03-17 14:16:18+00:00,"#SFIN
**Холдинг SFI создает дочернюю компанию для владения акциями публичных компаний** — компания

SFI Capital создается для изменения структуры владения существующими активами холдинга. На баланс компании будут переданы акции ПАО М.Видео, также рассматривается возможность перевести на баланс компании пакет казначейских акций ПАО ЭсЭфАй",['MVID'],[],['MVID'],False,MVID,М.Видео,розничная торговля,industry
68912,2025-03-14 11:03:34+00:00,"#MVID
**""М.Видео"" в марте-апреле получит от акционеров 30 млрд рублей на реализацию новой стратегии**
ПАО ""М.Видео"" (группа ""М.Видео-Эльдорадо"") в марте-апреле 2025 года получит от акционеров 30 млрд рублей для реализации новой стратегии на ближайшие три года, говорится в сообщении компании.

[MVID](https://www.tinkoff.ru/invest/stocks/MVID?utm_source=security_share) 118.15₽

👉[Полная новость](http://telegra.ph/MVideo-v-marte-aprele-poluchit-ot-akcionerov-30-mlrd-rublej-na-realizaciyu-novoj-strategii-03-14-2)

**Замечено Шпионом РЦБ.
Подключить:** @StockSpy_bot",['MVID'],['MVID'],['MVID'],False,MVID,М.Видео,розничная торговля,company_specific
67801,2025-01-27 19:48:04+00:00,"Владельцы «М.Видео-Эльдорадо» ведут переговоры о продаже торговой сети https://vedomosti.ru/business/articles/2025/01/27/1088631-mvideo-eldorado-prodazhe-biznesa
Уффф",['MVID'],[],['MVID'],True,MVID,М.Видео,розничная торговля,industry
67528,2025-01-15 11:16:53+00:00,"#Товары
**🇨🇳**** Китай начнет субсидировать покупки электроники и техники, чтобы стимулировать спрос**

Китай начнет выплачивать субсидии до 500 юаней (7 000 руб) на мобильные устройства и до 2000 юаней (28 000 руб) на бытовую технику. 

**Стимулирование спроса на покупку в электронике позволит также поддержать и спрос на медь** — электроника и бытовая техника являются важными секторами использования меди.",['MVID'],[],['MVID'],False,MVID,М.Видео,розничная торговля,industry
66141,2024-11-12 08:26:05+00:00,"#MVID
Как только появится окно возможностей — сделаем допэмиссию — М.Видео",['MVID'],['MVID'],['MVID'],False,MVID,М.Видео,розничная торговля,company_specific
