id,date,text,tickers,tickers_from_tags,tickers_from_keywords,has_media,ticker,company_name,industry,news_type,clean_text
61313,2024-06-04 08:03:42+00:00,"#Недвижимость 
🏗 Сбер не фиксирует пузыря на рынке жилья, разница между ценами на первичку и вторичку адекватна — зампред правления — ТАСС",['SBER'],[],['SBER'],False,SBER,Сбербанк,банк,industry,"Недвижимость Сбер не фиксирует пузыря на рынке жилья, разница между ценами на первичку и вторичку адекватна зампред правления ТАСС"
61331,2024-06-04 14:33:08+00:00,"#Макро
**🇷🇺**** Экономика России точно и сильно перегрета **— глава Сбера Греф",['SBER'],[],['SBER'],False,SBER,Сбербанк,банк,industry,Макро Экономика России точно и сильно перегрета глава Сбера Греф
61342,2024-06-05 07:40:46+00:00,"#Недвижимость #SBER
**Сбер ждет всплеск спроса на ипотеку в июне, выход на нормальные темпы к августу-сентябрю — первый зампред** — Интерфакс",['SBER'],['SBER'],['SBER'],False,SBER,Сбербанк,банк,company_specific,"Недвижимость SBER Сбер ждет всплеск спроса на ипотеку в июне, выход на нормальные темпы к августу-сентябрю первый зампред Интерфакс"
61352,2024-06-05 11:10:26+00:00,"#SBER
**Сбер с 5 июня повышает ставки по базовым ипотечным программам на 1.5 п. п.** 

Минимальная ставка составит 18.2%,",['SBER'],['SBER'],['SBER'],False,SBER,Сбербанк,банк,company_specific,"SBER Сбер с 5 июня повышает ставки по базовым ипотечным программам на 1.5 п. п. Минимальная ставка составит 18.2,"
61353,2024-06-05 11:26:40+00:00,"[**Шпион**](https://t.me/stockspy_bot?start=promo_time)** сигналит о начале крупных распродаж в акциях Сбера ****$SBER**** 📉**

А ведь это только начало, и АТТ Вас об этом предупреждали ☝️

https://t.me/c/1164849828/20543

Бурный отскок российского рынка завершен, а хомяки 🐹 поверившие в начало нового «вечного роста» закупались по полной. Теперь можно продолжить финальное выдавливание их из рынка, прежде чем тот вернется к реальному росту после 7 июня 👀

Ранее Мы уже писали о том, что тем, кто не успел купить акции, не стоит расстраиваться, и привлекательные точки входа вернутся совсем скоро. Начало положено 💪

Хотите знать какие еще бумаги покупают или продают крупнейшие акулы рынка❓Тогда подключайте Шпиона по скидке, воспользовавшись [**ПРОМОКОДом от АТТ **](https://t.me/stockspy_bot?start=promo_time)😉

[https://t.me/stockspy_bot?start=promo_time](https://t.me/stockspy_bot?start=promo_time)

[**👉 ПОДПИСАТЬСЯ НА АТТ**](https://t.me/+W7EOvM1pixU5ZWIy)",['SBER'],[],['SBER'],True,SBER,Сбербанк,банк,industry,"Шпион( сигналит о начале крупных распродаж в акциях Сбера SBER А ведь это только начало, и АТТ Вас об этом предупреждали Бурный отскок российского рынка завершен, а хомяки поверившие в начало нового вечного роста закупались по полной. Теперь можно продолжить финальное выдавливание их из рынка, прежде чем тот вернется к реальному росту после 7 июня Ранее Мы уже писали о том, что тем, кто не успел купить акции, не стоит расстраиваться, и привлекательные точки входа вернутся совсем скоро. Начало положено Хотите знать какие еще бумаги покупают или продают крупнейшие акулы рынкаТогда подключайте Шпиона по скидке, воспользовавшись ПРОМОКОДом от АТТ ( ПОДПИСАТЬСЯ НА АТТ("
61365,2024-06-05 16:02:04+00:00,"#SBER #IPO
Сбер прорабатывает порядка 15 потенциальных IPO — топ-менеджер",['SBER'],['SBER'],['SBER'],False,SBER,Сбербанк,банк,company_specific,SBER IPO Сбер прорабатывает порядка 15 потенциальных IPO топ-менеджер
61379,2024-06-06 06:05:25+00:00,"#SBER #Недвижимость
Сбер в июне планирует запустить льготную ипотеку под 2% на территории ЛНР и ДНР",['SBER'],['SBER'],['SBER'],False,SBER,Сбербанк,банк,company_specific,SBER Недвижимость Сбер в июне планирует запустить льготную ипотеку под 2 на территории ЛНР и ДНР
61394,2024-06-06 09:30:48+00:00,"#SBERP [SBERP](https://www.tinkoff.ru/invest/stocks/SBERP?utm_source=security_share) #SBER [SBER](https://www.tinkoff.ru/invest/stocks/SBER?utm_source=security_share)
СБЕРБАНК ФИКСИРУЕТ НЕБОЛЬШОЙ РОСТ ВЫДАЧ ПОТРЕБКРЕДИТОВ В МАЕ К АПРЕЛЮ - ПЕРВЫЙ ЗАМПРЕД

**Замечено Шпионом РЦБ.
Подключить:** @StockSpy_bot","['SBER', 'VTBR']",['SBER'],"['SBER', 'VTBR']",False,SBER,Сбербанк,банк,company_specific,SBERP SBERP( SBER SBER( СБЕРБАНК ФИКСИРУЕТ НЕБОЛЬШОЙ РОСТ ВЫДАЧ ПОТРЕБКРЕДИТОВ В МАЕ К АПРЕЛЮ - ПЕРВЫЙ ЗАМПРЕД Замечено Шпионом РЦБ. Подключить: StockSpy_bot
61395,2024-06-06 09:32:09+00:00,"#SBER #Недвижимость 
**Объем выдачи ипотеки в мае вырос к апрелю **— первый зампред",['SBER'],['SBER'],[],False,SBER,Сбербанк,банк,company_specific,SBER Недвижимость Объем выдачи ипотеки в мае вырос к апрелю первый зампред
61396,2024-06-06 09:51:13+00:00,"""СБЕР"" РАССЧИТЫВАЕТ СОХРАНИТЬ ДИВИДЕНДЫ НА УРОВНЕ 50% ОТ ПРИБЫЛИ НА ФОНЕ ИЗМЕНЕНИЙ В НАЛОГОВОЙ СИСТЕМЕ - ГРЕФ

**Замечено Шпионом РЦБ.
Подключить:** @StockSpy_bot",['SBER'],[],['SBER'],False,SBER,Сбербанк,банк,industry,"""СБЕР"" РАССЧИТЫВАЕТ СОХРАНИТЬ ДИВИДЕНДЫ НА УРОВНЕ 50 ОТ ПРИБЫЛИ НА ФОНЕ ИЗМЕНЕНИЙ В НАЛОГОВОЙ СИСТЕМЕ - ГРЕФ Замечено Шпионом РЦБ. Подключить: StockSpy_bot"
