id,date,text,tickers,tickers_from_tags,tickers_from_keywords,has_media,ticker,company_name,industry,news_type,clean_text,sentiment_compound,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_category,event_earnings,event_dividends,event_mergers_acquisitions,event_regulatory,event_management,event_products,event_macroeconomic,has_event,event_impact,event_direction
50993,2025-01-14,"Российских разработчиков программного обеспечения могут обязать делать софт совместимым как минимум с двумя российскими операционными системами.

[tass.ru](https://tass.ru/ekonomika/22872129)",['AFKS'],[],['AFKS'],False,AFKS,"АФК ""Система""",конгломерат,industry,Российских разработчиков программного обеспечения могут обязать делать софт совместимым как минимум с двумя российскими операционными системами. tass.ru(,0.0,0.0,1.0,0.0,neutral,False,False,False,False,False,False,False,False,1,neutral
51141,2025-01-17,"Используй **систему Технического анализа** от группы headlines. Мы ежедневно отслеживаем около 50 инструментов: акции РФ, FOREX, акции США, индексы, золото, серебро, нефть, природный газ, крипту. 

На графике можно видеть, как хорошо отработала система по Т-Технологиям (T). Цифры над графиком означают, что нужно держать длинную позицию.

Больше графиков с рейтингами тут: https://t.me/headlines_TA_bot

__Подписка - всего 990 руб. в мес.__",['AFKS'],[],['AFKS'],True,AFKS,"АФК ""Система""",конгломерат,industry,"Используй систему Технического анализа от группы headlines. Мы ежедневно отслеживаем около 50 инструментов: акции РФ, FOREX, акции США, индексы, золото, серебро, нефть, природный газ, крипту. На графике можно видеть, как хорошо отработала система по Т-Технологиям (T). Цифры над графиком означают, что нужно держать длинную позицию. Больше графиков с рейтингами тут: Подписка - всего 990 руб. в мес.",0.03508771929824561,0.0,0.9824561403508771,0.017543859649122806,neutral,False,False,False,False,False,True,False,True,1,neutral
51178,2025-01-18,"**БКС** (рейтинг самых волатильных акций в 2024):

1. АФК Система
2. Мечел
3. ОЗОН
4. ВК
5. Самолёт

[bcs-express.com](https://bcs-express.ru/novosti-i-analitika/aktsii-dlia-aktivnykh-treiderov-na-2025)",['AFKS'],[],['AFKS'],False,AFKS,"АФК ""Система""",конгломерат,industry,БКС (рейтинг самых волатильных акций в 2024): 1. АФК Система 2. Мечел 3. ОЗОН 4. ВК 5. Самолёт bcs-express.com(,0.0,0.0,1.0,0.0,neutral,False,False,False,False,False,False,False,False,1,neutral
51558,2025-01-28,"Используй **систему Технического анализа** от группы headlines. Мы ежедневно отслеживаем около 50 инструментов: акции РФ, FOREX, акции США, индексы, золото, серебро, нефть, природный газ, крипту. 

На графике можно видеть, как хорошо отработала система по фьючерсу Ri1!. Цифры над графиком означают, что нужно держать длинную позицию.

Больше графиков с рейтингами тут: https://t.me/headlines_TA_bot

__Теперь в два раза дешевле - ₽990 в месяц__",['AFKS'],[],['AFKS'],True,AFKS,"АФК ""Система""",конгломерат,industry,"Используй систему Технического анализа от группы headlines. Мы ежедневно отслеживаем около 50 инструментов: акции РФ, FOREX, акции США, индексы, золото, серебро, нефть, природный газ, крипту. На графике можно видеть, как хорошо отработала система по фьючерсу Ri1!. Цифры над графиком означают, что нужно держать длинную позицию. Больше графиков с рейтингами тут: Теперь в два раза дешевле - 990 в месяц",0.03389830508474576,0.0,0.9830508474576272,0.01694915254237288,neutral,False,False,False,False,False,False,False,False,1,neutral
67875,2025-01-30,"#DIAS [Диасофт](https://www.tinkoff.ru/invest/stocks/DIAS?utm_source=security_share)
💰 **Проведение заседания СД и его повестка дня**

Текущая цена: 4406.0 ₽

2.2. Дата проведения заседания совета директоров (наблюдательного совета) эмитента: «03» февраля 2025 г.;

2.3. Повестка совета директоров эмитента:
1.  О рекомендации по размеру **дивиденда** по акциям Общества по результатам прошлых лет и порядку его выплаты.
2.  О созыве внеочередного общего собрания акционеров ПАО «Диасофт».
3.  О голосовании по вопросу повестки дня общего собрания участников ООО «Диасофт».
4.  О голосовании по вопросу повестки дня общего собрания участников ООО «Диасофт Экосистема».
5.  О голосовании по вопросу повестки дня общего собрания участников ООО «Диасофт Дата Менеджмент».
6.  О голосовании по вопросу повестки дня общего собрания участников ООО «Диасофт Инновации».
7.  О голосовании по вопросу повестки дня общего собрания участников ООО «Диасофт АСП».

👉 [Полный текст сообщения](https://www.e-disclosure.ru/portal/event.aspx?EventId=qlx3oeCUpkSHib-AB42fXsg-B-B)

**Замечено  Шпионом РЦБ.**
**Подключить:** @StockSpy_bot",['AFKS'],[],['AFKS'],False,AFKS,"АФК ""Система""",конгломерат,industry,DIAS Диасофт( Проведение заседания СД и его повестка дня Текущая цена: 4406.0 2.2. Дата проведения заседания совета директоров (наблюдательного совета) эмитента: 03 февраля 2025 г.; 2.3. Повестка совета директоров эмитента: 1. О рекомендации по размеру дивиденда по акциям Общества по результатам прошлых лет и порядку его выплаты. 2. О созыве внеочередного общего собрания акционеров ПАО Диасофт. 3. О голосовании по вопросу повестки дня общего собрания участников ООО Диасофт. 4. О голосовании по вопросу повестки дня общего собрания участников ООО Диасофт Экосистема. 5. О голосовании по вопросу повестки дня общего собрания участников ООО Диасофт Дата Менеджмент. 6. О голосовании по вопросу повестки дня общего собрания участников ООО Диасофт Инновации. 7. О голосовании по вопросу повестки дня общего собрания участников ООО Диасофт АСП. Полный текст сообщения( Замечено Шпионом РЦБ. Подключить: StockSpy_bot,0.0,0.0,1.0,0.0,neutral,False,True,False,True,True,False,False,True,3,neutral
51868,2025-02-03,"Используй **систему Технического анализа** от группы headlines. Мы ежедневно отслеживаем около 50 инструментов: акции РФ, FOREX, акции США, индексы, золото, серебро, нефть, природный газ, крипту. 

На графике можно видеть, как хорошо отработала система по фьючерсу Ri1!. Цифры над графиком означают, что нужно держать длинную позицию.

Больше графиков с рейтингами тут: https://t.me/headlines_TA_bot

__Подписка - всего 990 руб. в мес.__",['AFKS'],[],['AFKS'],True,AFKS,"АФК ""Система""",конгломерат,industry,"Используй систему Технического анализа от группы headlines. Мы ежедневно отслеживаем около 50 инструментов: акции РФ, FOREX, акции США, индексы, золото, серебро, нефть, природный газ, крипту. На графике можно видеть, как хорошо отработала система по фьючерсу Ri1!. Цифры над графиком означают, что нужно держать длинную позицию. Больше графиков с рейтингами тут: Подписка - всего 990 руб. в мес.",0.03508771929824561,0.0,0.9824561403508771,0.017543859649122806,neutral,False,False,False,False,False,False,False,False,1,neutral
51903,2025-02-03,"**Тимофей Мартынов (о pricing power, 2/2):**

● Компании, которые способны в долгосрочной перспективе систематически повышать цены, создают своего рода «защитный ров» вокруг своего бизнеса — стойкое конкурентное преимущество, которое эффективно защищает их от давления и конкуренции.

● На российском рынке это HeadHunter. Эта компания предоставляет уникальные услуги, которые делают её менее уязвимой для конкурентов.

[vkvideo.ru](https://vkvideo.ru/video-53159866_456239917?t=28m14s)",['AFKS'],[],['AFKS'],False,AFKS,"АФК ""Система""",конгломерат,industry,"Тимофей Мартынов (о pricing power, 22): Компании, которые способны в долгосрочной перспективе систематически повышать цены, создают своего рода защитный ров вокруг своего бизнеса стойкое конкурентное преимущество, которое эффективно защищает их от давления и конкуренции. На российском рынке это HeadHunter. Эта компания предоставляет уникальные услуги, которые делают её менее уязвимой для конкурентов. vkvideo.ru(",0.0,0.0,1.0,0.0,neutral,False,False,False,False,False,False,False,False,1,neutral
67984,2025-02-05,"#SGZH
**Лесную отрасль предложили поддержать льготами и стройкой** — [РБК](https://www.rbc.ru/economics/05/02/2025/67a230159a79479d6335eb2b)

Вице-премьер Александр Новак поручил проработать меры поддержки лесной отрасли: дать таможенные льготы, увеличить число поездов для экспорта, а также на год перенести обязательство оснащать транспорт системами отслеживания.",['AFKS'],[],['AFKS'],False,AFKS,"АФК ""Система""",конгломерат,industry,"SGZH Лесную отрасль предложили поддержать льготами и стройкой РБК( Вице-премьер Александр Новак поручил проработать меры поддержки лесной отрасли: дать таможенные льготы, увеличить число поездов для экспорта, а также на год перенести обязательство оснащать транспорт системами отслеживания.",0.0,0.0,1.0,0.0,neutral,False,False,False,False,False,False,False,False,1,neutral
52384,2025-02-14,"❕ Движения >5% по итогам вчерашнего дня:

   `RENI    Ренессанс   +10.54%`
   `GAZP    ГАЗПРОМ ао   +7.58%`
   `AFKS    Система ао   +7.39%`
   `SFIN    ЭсЭфАй ао    +5.92%`

__* среди российских акций 1 эшелона с учётом вечерней сессии__",['AFKS'],[],['AFKS'],False,AFKS,"АФК ""Система""",конгломерат,industry,Движения 5 по итогам вчерашнего дня: RENI Ренессанс 10.54 GAZP ГАЗПРОМ ао 7.58 AFKS Система ао 7.39 SFIN ЭсЭфАй ао 5.92 среди российских акций 1 эшелона с учётом вечерней сессии,0.0,0.0,1.0,0.0,neutral,False,False,False,False,False,False,False,False,1,neutral
68307,2025-02-17,"**В 2025 году экономику России ждут мир, дефляционные тенденции, смягчение ДКП и риски для экспорта углеводородов. Фреймворк на 2025 год от главного стратега клуба RDV PREMIUM 361°. **#аналитика

**Вводные параметры:**
✍️**Мир:** Путин и Трамп прямо говорят, что хотят мир. Возможно, бюрократы с обеих сторон (особенно в ЕС) и большое число вопросов в повестке затянут переговоры. Но тренд понятен.
✍️**Санкции: сохранить нельзя ослабить:**
- Трамп прямо говорит, что хочет использования долларов в международных расчетах — значит, не попавшей под санкции части экономики РФ вернут нормальный доступ к международным расчетам (к SWIFT, счетам в международных банках, платежным системам Visa и Master Card). И это может произойти в ближайшие пару месяцев.
- Санкции в основном сохранятся. По крайней мере, пока так кажется.
✍️Слабое место РФ — это по-прежнему цены на углеводороды и объемы их экспорта. И Трамп будет на эти рычаги давить, если потребуются дополнительные аргументы в переговорах. Да и США хотят [доминировать](https://www.whitehouse.gov/fact-sheets/2025/02/fact-sheet-president-donald-j-trump-establishes-the-national-energy-dominance-council/) на важных для РФ рынках нефти и газа.

**Последствия для экономики РФ:**
✍️**Вместо высокой инфляции будет дефляционный шок, возврат к исторически средним ставкам (~10%).**
Мир, сокращение транзакционных издержек во внешней торговле, возврат западных компаний на рынок РФ, нормализация гос. расходов на оборону будут иметь дефляционный эффект на экономику РФ. ДКП будет смягчаться и быстро.
✍️**Курс рубля не крепче текущих уровней.**
Большого апсайда в сторону укрепления нет. А долгосрочные факторы слабости есть:
- Сокращение роли углеводородов в мире и вытеснение РФ с этого рынка американцами;
- Хронический отток капитала (что сделаем все мы, когда нам разрешат снова открывать счета в зарубежных банках и брокерах? Возить немецкие авто?);
- Неопределенность с замороженными активами нерезидентов на счетах типа С.

**Что включить в портфель? Где есть апсайд 30%+?**
✍️Длинные ОФЗ (26243 и др.).
✍️Компании роста из-за чувствительности оценок их акций к уровню процентных ставок — Яндекс (YDEX), Т-Банк (T).
✍️Компании, чей бизнес выиграет от снижения ставки — Hyper (HYPR).
✍️Экспортеры, не подпадающие под санкции — Татнефть ([TATN](https://neo.putinomics.ru/dashboard/TATN/MOEX)), Лукойл ([LKOH](https://neo.putinomics.ru/dashboard/LKOH/MOEX)).

Подключить доступ к аналитике: @RDVPREMIUMbot","['AFKS', 'TATN', 'LKOH']",[],"['AFKS', 'LKOH', 'TATN']",False,AFKS,"АФК ""Система""",конгломерат,industry,"В 2025 году экономику России ждут мир, дефляционные тенденции, смягчение ДКП и риски для экспорта углеводородов. Фреймворк на 2025 год от главного стратега клуба RDV PREMIUM 361. аналитика Вводные параметры: Мир: Путин и Трамп прямо говорят, что хотят мир. Возможно, бюрократы с обеих сторон (особенно в ЕС) и большое число вопросов в повестке затянут переговоры. Но тренд понятен. Санкции: сохранить нельзя ослабить: - Трамп прямо говорит, что хочет использования долларов в международных расчетах значит, не попавшей под санкции части экономики РФ вернут нормальный доступ к международным расчетам (к SWIFT, счетам в международных банках, платежным системам Visa и Master Card). И это может произойти в ближайшие пару месяцев. - Санкции в основном сохранятся. По крайней мере, пока так кажется. Слабое место РФ это по-прежнему цены на углеводороды и объемы их экспорта. И Трамп будет на эти рычаги давить, если потребуются дополнительные аргументы в переговорах. Да и США хотят доминировать( на важных для РФ рынках нефти и газа. Последствия для экономики РФ: Вместо высокой инфляции будет дефляционный шок, возврат к исторически средним ставкам (10). Мир, сокращение транзакционных издержек во внешней торговле, возврат западных компаний на рынок РФ, нормализация гос. расходов на оборону будут иметь дефляционный эффект на экономику РФ. ДКП будет смягчаться и быстро. Курс рубля не крепче текущих уровней. Большого апсайда в сторону укрепления нет. А долгосрочные факторы слабости есть: - Сокращение роли углеводородов в мире и вытеснение РФ с этого рынка американцами; - Хронический отток капитала (что сделаем все мы, когда нам разрешат снова открывать счета в зарубежных банках и брокерах? Возить немецкие авто?); - Неопределенность с замороженными активами нерезидентов на счетах типа С. Что включить в портфель? Где есть апсайд 30? Длинные ОФЗ (26243 и др.). Компании роста из-за чувствительности оценок их акций к уровню процентных ставок Яндекс (YDEX), Т-Банк (T). Компании, чей бизнес выиграет от снижения ставки Hyper (HYPR). Экспортеры, не подпадающие под санкции Татнефть (TATN( Лукойл (LKOH( Подключить доступ к аналитике: RDVPREMIUMbot",0.0,0.0,1.0,0.0,neutral,False,False,False,True,False,False,True,True,2,neutral
