id,date,text,tickers,tickers_from_tags,tickers_from_keywords,has_media,ticker,company_name,industry,news_type,clean_text,sentiment_compound,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_category
67706,2025-01-23,"**ММК: в 4 кв. 2024 года продажи упали до минимумов начала СВО и ковида. 4 кв 2024 к 4 кв 2023 -23%**. ** **#аналитика 

✍️ Продажи металлопродукции Группы в 4 кв. 2024 года составили 2 363 тыс. тонн, снизившись на 4.7%, отражая влияние ремонтной программы, **замедление деловой активности в России на фоне роста стоимости заемного финансирования** и сезонного фактора.
✍️ Продажи премиальной продукции сократились на 9.4% и составили 1 077 тыс. тонн, в основном из-за коррекции продаж х/к проката и проката с покрытиями **на фоне снижения строительной активности ввиду** неблагоприятной сезонности и **сложившихся макроэкономических условий**.

В 1 кв. 2025 года ситуация точно не стала лучше...

😀 @AK47pfl",['MAGN'],[],['MAGN'],True,MAGN,ММК,металлургия,industry,"ММК: в 4 кв. 2024 года продажи упали до минимумов начала СВО и ковида. 4 кв 2024 к 4 кв 2023 -23. аналитика Продажи металлопродукции Группы в 4 кв. 2024 года составили 2 363 тыс. тонн, снизившись на 4.7, отражая влияние ремонтной программы, замедление деловой активности в России на фоне роста стоимости заемного финансирования и сезонного фактора. Продажи премиальной продукции сократились на 9.4 и составили 1 077 тыс. тонн, в основном из-за коррекции продаж хк проката и проката с покрытиями на фоне снижения строительной активности ввиду неблагоприятной сезонности и сложившихся макроэкономических условий. В 1 кв. 2025 года ситуация точно не стала лучше... AK47pfl",0.0,0.0,1.0,0.0,neutral
67704,2025-01-23,"#MAGN #Отчетность
**🖨**** ММК: Операционные результаты 2024**

Выплавка чугуна — 9.49 млн т (-4.5% г/г)
Производство стали — 11.2 млн т (-13.8% г/г)
Продажи металлопродукции — 10.6 млн т (-9.8% г/г)
Производство угольного концентрата — 2.6 млн т (-25.7% г/г)",['MAGN'],['MAGN'],[],True,MAGN,ММК,металлургия,company_specific,MAGN Отчетность ММК: Операционные результаты 2024 Выплавка чугуна 9.49 млн т (-4.5 гг) Производство стали 11.2 млн т (-13.8 гг) Продажи металлопродукции 10.6 млн т (-9.8 гг) Производство угольного концентрата 2.6 млн т (-25.7 гг),0.0,0.0,1.0,0.0,neutral
51478,2025-01-26,"**Студенческий портфель MOEX*:**

● Сбербанк
● Роснефть
● Газпром
● ВТБ
● Лукойл
● Новатэк
● Татнефть
● ММК
● Яндекс
● Мосбиржа

[t.me](https://t.me/MoscowExchangeOfficial/3218)
__* топ акций в портфеле российских студентов__","['LKOH', 'TATN', 'VTBR', 'ROSN', 'MAGN', 'NVTK']",[],"['LKOH', 'MAGN', 'NVTK', 'ROSN', 'TATN', 'VTBR']",False,MAGN,ММК,металлургия,industry,Студенческий портфель MOEX: Сбербанк Роснефть Газпром ВТБ Лукойл Новатэк Татнефть ММК Яндекс Мосбиржа t.me( топ акций в портфеле российских студентов,0.0,0.0,1.0,0.0,neutral
51874,2025-02-03,"**ММК (MAGN): -34.6% с начала 2024 года**

​[headlines_for_traders](https://t.me/headlines_for_traders)
#разбор_полётов",['MAGN'],[],['MAGN'],True,MAGN,ММК,металлургия,industry,ММК (MAGN): -34.6 с начала 2024 года headlines_for_traders( разбор_полётов,0.0,0.0,1.0,0.0,neutral
67995,2025-02-05,"#MAGN [ММК](https://www.tinkoff.ru/invest/stocks/MAGN?utm_source=security_share)
📣 **Существенное событие**

Краткое описание события, наступление которого, по мнению эмитента, оказывает влияние на стоимость или котировки его ценных бумаг: публикация релиза: ММК СООБЩАЕТ О ПЕРЕНОСЕ ДАТЫ ПУБЛИКАЦИИ ФИНАНСОВЫХ РЕЗУЛЬТАТОВ ЗА 12 МЕСЯЦЕВ 2024 ГОДА.

👉 [Полный текст сообщения](https://www.e-disclosure.ru/portal/event.aspx?EventId=LB9Jcr-AYA0-Cu2cZHK6OBBg-B-B)

**Замечено  Шпионом РЦБ.**
**Подключить:** @StockSpy_bot",['MAGN'],['MAGN'],[],False,MAGN,ММК,металлургия,company_specific,"MAGN ММК( Существенное событие Краткое описание события, наступление которого, по мнению эмитента, оказывает влияние на стоимость или котировки его ценных бумаг: публикация релиза: ММК СООБЩАЕТ О ПЕРЕНОСЕ ДАТЫ ПУБЛИКАЦИИ ФИНАНСОВЫХ РЕЗУЛЬТАТОВ ЗА 12 МЕСЯЦЕВ 2024 ГОДА. Полный текст сообщения( Замечено Шпионом РЦБ. Подключить: StockSpy_bot",0.0,0.0,1.0,0.0,neutral
51995,2025-02-05,"**ММК:**

Компания переносит публикацию фин. результатов за 2024 для получения дополнительной информации, ""которая необходима для более точного формирования ряда оценочных значений на 31.12.2024"".

[mmk.ru](https://mmk.ru/ru/press-center/news/mmk-soobshchaet-o-perenose-daty-publikatsii-finansovykh-rezultatov-za-12-mesyatsev-2024-goda/)
__* MMK: -2.2%__",['MAGN'],[],['MAGN'],False,MAGN,ММК,металлургия,industry,"ММК: Компания переносит публикацию фин. результатов за 2024 для получения дополнительной информации, ""которая необходима для более точного формирования ряда оценочных значений на 31.12.2024"". mmk.ru( MMK: -2.2",0.0,0.0,1.0,0.0,neutral
68091,2025-02-10,"#KMAZ #MAGN
Значительная часть импортного металла на камазовском автозаводе, особенно высокопрочные стали, замещена российской продукцией ММК — пресс-служба Камаза",['MAGN'],['MAGN'],[],False,MAGN,ММК,металлургия,company_specific,"KMAZ MAGN Значительная часть импортного металла на камазовском автозаводе, особенно высокопрочные стали, замещена российской продукцией ММК пресс-служба Камаза",0.0,0.0,1.0,0.0,neutral
52543,2025-02-18,"❕ Движения >5% по итогам вчерашнего дня:

   `SGZH    Сегежа      +30.91%`
   `MTLRP   Мечел ап    +14.53%`
   `VTBR    ВТБ ао      +12.50%`
   `VSEH    ВИ.ру        +8.75%`
   `UPRO    Юнипро ао    +8.19%`
   `AFLT    Аэрофлот     +8.08%`
   `SFIN    ЭсЭфАй ао    +7.95%`
   `AFKS    Система ао   +7.94%`
   `MSNG    +МосЭнерго   +7.71%`
   `MTLR    Мечел ао     +7.52%`
   `GAZP    ГАЗПРОМ ао   +7.11%`
   `SVCB    Совкомбанк   +6.80%`
   `TGKA    ТГК-1        +6.73%`
   `NVTK    Новатэк ао   +6.07%`
   `FEES    Россети      +6.06%`
   `NLMK    НЛМК ао      +5.61%`
   `GMKN    ГМКНорНик    +5.10%`
   `MAGN    ММК          +5.09%`
   `FLOT    Совкомфлот   +5.07%`
   `SMLT    Самолет ао   +5.05%`

__* среди российских акций 1 эшелона с учётом вечерней сессии__","['NVTK', 'AFKS', 'VTBR', 'MAGN']",[],"['AFKS', 'MAGN', 'NVTK', 'VTBR']",False,MAGN,ММК,металлургия,industry,Движения 5 по итогам вчерашнего дня: SGZH Сегежа 30.91 MTLRP Мечел ап 14.53 VTBR ВТБ ао 12.50 VSEH ВИ.ру 8.75 UPRO Юнипро ао 8.19 AFLT Аэрофлот 8.08 SFIN ЭсЭфАй ао 7.95 AFKS Система ао 7.94 MSNG МосЭнерго 7.71 MTLR Мечел ао 7.52 GAZP ГАЗПРОМ ао 7.11 SVCB Совкомбанк 6.80 TGKA ТГК-1 6.73 NVTK Новатэк ао 6.07 FEES Россети 6.06 NLMK НЛМК ао 5.61 GMKN ГМКНорНик 5.10 MAGN ММК 5.09 FLOT Совкомфлот 5.07 SMLT Самолет ао 5.05 среди российских акций 1 эшелона с учётом вечерней сессии,0.0,0.0,1.0,0.0,neutral
68604,2025-02-28,"#MAGN
ММК планирует сохранить производство в 2025г на уровне 2024г — Рашников",['MAGN'],['MAGN'],[],False,MAGN,ММК,металлургия,company_specific,MAGN ММК планирует сохранить производство в 2025г на уровне 2024г Рашников,0.0,0.0,1.0,0.0,neutral
68907,2025-03-14,"#MAGN 
❗️ ММК 20 марта отчитается по МСФО за 2024 год",['MAGN'],['MAGN'],[],False,MAGN,ММК,металлургия,company_specific,MAGN ММК 20 марта отчитается по МСФО за 2024 год,0.0,0.0,1.0,0.0,neutral
