Показатель,value_float
"Продажи золота, тыс тр унц",3107.0
"Ср.цена продажи золота, $/унц",2332.0
"Себестоимость золота, $/унц",383.0
"Выручка, млрд руб",694.8
"Операционная прибыль, млрд руб",451.0
"EBITDA, млрд руб",538.7
"Чистая прибыль, млрд руб",306.0
"Опер.денежный поток, млрд руб",323.7
"CAPEX, млрд руб",137.8
"FCF, млрд руб",116.0
"Див.выплата, млрд руб",276.5
"Дивиденд, руб/акцию",203.17
"Див доход, ао, %",10.7
"Дивиденды/прибыль, %",90.0
"Опер. расходы, млрд руб",76.5
"Себестоимость, млрд руб",167.2
"Амортизация, млрд руб",58.5
"Расх на персонал, млрд руб",50.4
"Процентные расходы, млрд руб",60.6
"Активы, млрд руб",1152.0
"Чистые активы, млрд руб",126.9
"Долг, млрд руб",879.8
"Наличность, млрд руб",255.1
"Чистый долг, млрд руб",624.7
"Цена акции ао, руб",1890.0
"Число акций ао, млн",1361.0
"Капитализация, млрд руб",2572.0
"EV, млрд руб",3197.0
"Баланс стоимость, млрд руб",118.0
"EPS, руб",224.9
"FCF/акцию, руб",85.3
"BV/акцию, руб",86.8
"Рентаб EBITDA, %",77.5
"Чистая рентаб, %",44.0
"Доходность FCF, %",4.5
"ROE, %",241.1
"ROA, %",26.6
P/E,8.41
P/FCF,22.2
P/S,3.7
P/BV,21.8
EV/EBITDA,5.93
Долг/EBITDA,1.16
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",20.0
IR рейтинг,4.1
Качество фин.отчетности,5.0
Презентации для инвесторов,5.0
Присутствие на смартлабе,1.0
Годовой отчет,5.0
Сайт для инвесторов,5.0
Календарь инвесторов,3.0
Обратная связь,5.0
