id,date,text,tickers,tickers_from_tags,tickers_from_keywords,has_media,ticker,company_name,industry,news_type,clean_text,sentiment_compound,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_category,event_earnings,event_dividends,event_mergers_acquisitions,event_regulatory,event_management,event_products,event_macroeconomic,has_event,event_impact,event_direction
50982,2025-01-14,"**SberCIB исключил бумаги «Роснефти» и «Совкомфлота» из топа российских дивидендных акций**

Текущий топ акций по див. доходности:

Банк «Санкт-Петербург» — 15.4%
Татнефть — 13.9%
ЛУКОЙЛ — 13.7%
Сбер — 12.9%
Фосагро — 12.9%
НЛМК — 12.4%
Транснефть — 12.3%

[rbc.ru](https://www.rbc.ru/quote/news/article/6785507e9a794707895d81b0?from=copy)","['PHOR', 'TATN', 'LKOH']",[],"['LKOH', 'PHOR', 'TATN']",False,TATN,Татнефть,нефть,industry,SberCIB исключил бумаги Роснефти и Совкомфлота из топа российских дивидендных акций Текущий топ акций по див. доходности: Банк Санкт-Петербург 15.4 Татнефть 13.9 ЛУКОЙЛ 13.7 Сбер 12.9 Фосагро 12.9 НЛМК 12.4 Транснефть 12.3 rbc.ru(,0.0,0.0,1.0,0.0,neutral,False,True,False,False,False,False,False,True,2,neutral
51051,2025-01-15,"В Татарстане произошел обрыв магистрального кабеля, в результате которого зафиксировано снижение скорости интернета в 21 российском регионе

[rbc.ru](https://www.rbc.ru/technology_and_media/15/01/2025/6787bd549a79474ef1245b61?from=from_main_1)",['TATN'],[],['TATN'],False,TATN,Татнефть,нефть,industry,"В Татарстане произошел обрыв магистрального кабеля, в результате которого зафиксировано снижение скорости интернета в 21 российском регионе rbc.ru(",-0.1111111111111111,0.05555555555555555,0.9444444444444444,0.0,negative,False,False,False,False,False,False,False,False,1,negative
51478,2025-01-26,"**Студенческий портфель MOEX*:**

● Сбербанк
● Роснефть
● Газпром
● ВТБ
● Лукойл
● Новатэк
● Татнефть
● ММК
● Яндекс
● Мосбиржа

[t.me](https://t.me/MoscowExchangeOfficial/3218)
__* топ акций в портфеле российских студентов__","['LKOH', 'TATN', 'VTBR', 'ROSN', 'MAGN', 'NVTK']",[],"['LKOH', 'MAGN', 'NVTK', 'ROSN', 'TATN', 'VTBR']",False,TATN,Татнефть,нефть,industry,Студенческий портфель MOEX: Сбербанк Роснефть Газпром ВТБ Лукойл Новатэк Татнефть ММК Яндекс Мосбиржа t.me( топ акций в портфеле российских студентов,0.0,0.0,1.0,0.0,neutral,False,False,False,False,False,False,False,False,1,neutral
68047,2025-02-07,"#TATN
**Татнефть обновила максимум декабря 2024**",['TATN'],['TATN'],[],True,TATN,Татнефть,нефть,company_specific,TATN Татнефть обновила максимум декабря 2024,0.0,0.0,1.0,0.0,neutral,False,False,False,False,False,False,False,False,1,neutral
68307,2025-02-17,"**В 2025 году экономику России ждут мир, дефляционные тенденции, смягчение ДКП и риски для экспорта углеводородов. Фреймворк на 2025 год от главного стратега клуба RDV PREMIUM 361°. **#аналитика

**Вводные параметры:**
✍️**Мир:** Путин и Трамп прямо говорят, что хотят мир. Возможно, бюрократы с обеих сторон (особенно в ЕС) и большое число вопросов в повестке затянут переговоры. Но тренд понятен.
✍️**Санкции: сохранить нельзя ослабить:**
- Трамп прямо говорит, что хочет использования долларов в международных расчетах — значит, не попавшей под санкции части экономики РФ вернут нормальный доступ к международным расчетам (к SWIFT, счетам в международных банках, платежным системам Visa и Master Card). И это может произойти в ближайшие пару месяцев.
- Санкции в основном сохранятся. По крайней мере, пока так кажется.
✍️Слабое место РФ — это по-прежнему цены на углеводороды и объемы их экспорта. И Трамп будет на эти рычаги давить, если потребуются дополнительные аргументы в переговорах. Да и США хотят [доминировать](https://www.whitehouse.gov/fact-sheets/2025/02/fact-sheet-president-donald-j-trump-establishes-the-national-energy-dominance-council/) на важных для РФ рынках нефти и газа.

**Последствия для экономики РФ:**
✍️**Вместо высокой инфляции будет дефляционный шок, возврат к исторически средним ставкам (~10%).**
Мир, сокращение транзакционных издержек во внешней торговле, возврат западных компаний на рынок РФ, нормализация гос. расходов на оборону будут иметь дефляционный эффект на экономику РФ. ДКП будет смягчаться и быстро.
✍️**Курс рубля не крепче текущих уровней.**
Большого апсайда в сторону укрепления нет. А долгосрочные факторы слабости есть:
- Сокращение роли углеводородов в мире и вытеснение РФ с этого рынка американцами;
- Хронический отток капитала (что сделаем все мы, когда нам разрешат снова открывать счета в зарубежных банках и брокерах? Возить немецкие авто?);
- Неопределенность с замороженными активами нерезидентов на счетах типа С.

**Что включить в портфель? Где есть апсайд 30%+?**
✍️Длинные ОФЗ (26243 и др.).
✍️Компании роста из-за чувствительности оценок их акций к уровню процентных ставок — Яндекс (YDEX), Т-Банк (T).
✍️Компании, чей бизнес выиграет от снижения ставки — Hyper (HYPR).
✍️Экспортеры, не подпадающие под санкции — Татнефть ([TATN](https://neo.putinomics.ru/dashboard/TATN/MOEX)), Лукойл ([LKOH](https://neo.putinomics.ru/dashboard/LKOH/MOEX)).

Подключить доступ к аналитике: @RDVPREMIUMbot","['AFKS', 'TATN', 'LKOH']",[],"['AFKS', 'LKOH', 'TATN']",False,TATN,Татнефть,нефть,industry,"В 2025 году экономику России ждут мир, дефляционные тенденции, смягчение ДКП и риски для экспорта углеводородов. Фреймворк на 2025 год от главного стратега клуба RDV PREMIUM 361. аналитика Вводные параметры: Мир: Путин и Трамп прямо говорят, что хотят мир. Возможно, бюрократы с обеих сторон (особенно в ЕС) и большое число вопросов в повестке затянут переговоры. Но тренд понятен. Санкции: сохранить нельзя ослабить: - Трамп прямо говорит, что хочет использования долларов в международных расчетах значит, не попавшей под санкции части экономики РФ вернут нормальный доступ к международным расчетам (к SWIFT, счетам в международных банках, платежным системам Visa и Master Card). И это может произойти в ближайшие пару месяцев. - Санкции в основном сохранятся. По крайней мере, пока так кажется. Слабое место РФ это по-прежнему цены на углеводороды и объемы их экспорта. И Трамп будет на эти рычаги давить, если потребуются дополнительные аргументы в переговорах. Да и США хотят доминировать( на важных для РФ рынках нефти и газа. Последствия для экономики РФ: Вместо высокой инфляции будет дефляционный шок, возврат к исторически средним ставкам (10). Мир, сокращение транзакционных издержек во внешней торговле, возврат западных компаний на рынок РФ, нормализация гос. расходов на оборону будут иметь дефляционный эффект на экономику РФ. ДКП будет смягчаться и быстро. Курс рубля не крепче текущих уровней. Большого апсайда в сторону укрепления нет. А долгосрочные факторы слабости есть: - Сокращение роли углеводородов в мире и вытеснение РФ с этого рынка американцами; - Хронический отток капитала (что сделаем все мы, когда нам разрешат снова открывать счета в зарубежных банках и брокерах? Возить немецкие авто?); - Неопределенность с замороженными активами нерезидентов на счетах типа С. Что включить в портфель? Где есть апсайд 30? Длинные ОФЗ (26243 и др.). Компании роста из-за чувствительности оценок их акций к уровню процентных ставок Яндекс (YDEX), Т-Банк (T). Компании, чей бизнес выиграет от снижения ставки Hyper (HYPR). Экспортеры, не подпадающие под санкции Татнефть (TATN( Лукойл (LKOH( Подключить доступ к аналитике: RDVPREMIUMbot",0.0,0.0,1.0,0.0,neutral,False,False,False,True,False,False,True,True,2,neutral
68748,2025-03-07,"#HYPR #KMAZ #Электрокары
**Таксопарки, каршеринги и физические лица забронировали более 105 тыс. автомобилей Атом**. Запуск серийного производства российских электромобилей ""Атом"" планируется в июле 2025 года — Минпромторг Татарстана",['TATN'],[],['TATN'],True,TATN,Татнефть,нефть,industry,"HYPR KMAZ Электрокары Таксопарки, каршеринги и физические лица забронировали более 105 тыс. автомобилей Атом. Запуск серийного производства российских электромобилей ""Атом"" планируется в июле 2025 года Минпромторг Татарстана",0.0,0.0,1.0,0.0,neutral,False,False,False,False,False,True,False,True,1,neutral
68848,2025-03-13,"#TATN #Отчетность
Татнефть: МСФО 2024

Чистая прибыль 306.14 млрд руб (+6% г/г)",['TATN'],['TATN'],[],False,TATN,Татнефть,нефть,company_specific,TATN Отчетность Татнефть: МСФО 2024 Чистая прибыль 306.14 млрд руб (6 гг),0.16666666666666666,0.0,0.9166666666666666,0.08333333333333333,positive,True,False,False,False,False,False,False,True,2,positive
69222,2025-03-28,"#TATN
""Кaзмунaйгaз"" рaссмaтривaет вoзмoжнoсть учaстия ""Тaтнефти"" в привaтизaции дoлей в Пaвлoдaрскoм и Атырaускoм НПЗ — пресс-службa кaзaхстaнскoй кoмпaнии",['TATN'],['TATN'],[],False,TATN,Татнефть,нефть,company_specific,"TATN ""Кaзмунaйгaз"" рaссмaтривaет вoзмoжнoсть учaстия ""Тaтнефти"" в привaтизaции дoлей в Пaвлoдaрскoм и Атырaускoм НПЗ пресс-службa кaзaхстaнскoй кoмпaнии",0.0,0.0,1.0,0.0,neutral,False,False,False,False,False,False,False,False,1,neutral
69396,2025-04-02,"⚡️**Путин разрешил ""Балчуг Капиталу"" купить у Goldman Sachs и затем продать акции ряда российских публичных компаний** — распоряжение

#GAZP #ROCN #SNGS #IRAO #RTKM #NVTK #NLMK #TATN #LKOH","['SNGS', 'TATN', 'NVTK', 'LKOH']","['SNGS', 'NVTK', 'TATN', 'LKOH']",[],True,TATN,Татнефть,нефть,company_specific,"Путин разрешил ""Балчуг Капиталу"" купить у Goldman Sachs и затем продать акции ряда российских публичных компаний распоряжение GAZP ROCN SNGS IRAO RTKM NVTK NLMK TATN LKOH",0.0,0.0,1.0,0.0,neutral,False,False,False,False,False,False,False,False,1,neutral
69472,2025-04-03,"#TATN [Татнефть им. В.Д.Шашина](https://www.tinkoff.ru/invest/stocks/TATN?utm_source=security_share)
💰 **Проведение заседания СД и его повестка дня**

Текущая цена: 660.2 ₽

2.2. Дата проведения заседания совета директоров (наблюдательного совета) эмитента: 09.04.2025 в форме заочного голосования.

2.3. Повестка совета директоров эмитента:

1.О рекомендациях общему собранию акционеров о размере **дивидендов** по итогам финансово-хозяйственной деятельности ПАО «Татнефть» им. В.Д. Шашина за 2024 год и порядке их выплаты.
2.О заседании общего собрания акционеров ПАО «Татнефть» им. В.Д. Шашина по итогам 2024 года.
3.О годовом отчете ПАО «Татнефть» им. В.Д. Шашина за 2024 год.
4.О кандидатах в СД ПАО «Татнефть» им. В.Д. Шашина.
5.О заявлении СД ПАО «Татнефть» им. В.Д. Шашина относительно независимых директоров.

👉 [Полный текст сообщения](https://www.e-disclosure.ru/portal/event.aspx?EventId=tC49bFQ8ZU-CbPO6as6uvtA-B-B)

**Замечено  Шпионом РЦБ.**
**Подключить:** @StockSpy_bot",['TATN'],['TATN'],[],False,TATN,Татнефть,нефть,company_specific,TATN Татнефть им. В.Д.Шашина( Проведение заседания СД и его повестка дня Текущая цена: 660.2 2.2. Дата проведения заседания совета директоров (наблюдательного совета) эмитента: 09.04.2025 в форме заочного голосования. 2.3. Повестка совета директоров эмитента: 1.О рекомендациях общему собранию акционеров о размере дивидендов по итогам финансово-хозяйственной деятельности ПАО Татнефть им. В.Д. Шашина за 2024 год и порядке их выплаты. 2.О заседании общего собрания акционеров ПАО Татнефть им. В.Д. Шашина по итогам 2024 года. 3.О годовом отчете ПАО Татнефть им. В.Д. Шашина за 2024 год. 4.О кандидатах в СД ПАО Татнефть им. В.Д. Шашина. 5.О заявлении СД ПАО Татнефть им. В.Д. Шашина относительно независимых директоров. Полный текст сообщения( Замечено Шпионом РЦБ. Подключить: StockSpy_bot,0.0,0.0,1.0,0.0,neutral,True,True,False,True,True,False,False,True,4,neutral
