Показатель,value_float
"Производство удобрений, млн т",11.8
"Продажа удобрений, млн т",11.9
"Выручка, млрд руб",507.7
"Операционная прибыль, млрд руб",140.5
"EBITDA, млрд руб",177.0
"Чистая прибыль, млрд руб",100.4
"Чистая прибыль н/с, млрд руб",84.5
"Опер.денежный поток, млрд руб",92.8
"CAPEX, млрд руб",82.5
"FCF, млрд руб",29.0
"Див.выплата, млрд руб",55.5
"Дивиденд, руб/акцию",429.0
"Див доход, ао, %",6.7
"Дивиденды/прибыль, %",55.0
"Опер. расходы, млрд руб",41.6
"Себестоимость, млрд руб",293.5
"Амортизация, млрд руб",36.6
"Расх на персонал, млрд руб",62.6
"Процентные расходы, млрд руб",14.7
"Активы, млрд руб",592.5
"Чистые активы, млрд руб",164.6
"Долг, млрд руб",331.6
"Наличность, млрд руб",10.4
"Чистый долг, млрд руб",321.2
"Цена акции ао, руб",6361.0
"Число акций ао, млн",129.5
"Капитализация, млрд руб",823.7
"EV, млрд руб",1145.0
"Баланс стоимость, млрд руб",161.6
"EPS, руб",775.3
"FCF/акцию, руб",223.9
"BV/акцию, руб",1248.0
"Рентаб EBITDA, %",34.9
"Чистая рентаб, %",19.8
"Доходность FCF, %",3.5
"ROE, %",61.0
"ROA, %",16.9
P/E,8.2
P/FCF,28.4
P/S,1.62
P/BV,5.1
EV/EBITDA,6.47
Долг/EBITDA,1.81
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",16.0
IR рейтинг,3.1
Качество фин.отчетности,4.0
Презентации для инвесторов,1.0
Присутствие на смартлабе,1.0
Годовой отчет,5.0
Сайт для инвесторов,5.0
Календарь инвесторов,5.0
Обратная связь,1.0
