id,date,text,tickers,tickers_from_tags,tickers_from_keywords,has_media,ticker,company_name,industry,news_type,clean_text,sentiment_compound,sentiment_negative,sentiment_neutral,sentiment_positive,stock_impact,sentiment_category,sentiment_simple
62034,2024-06-24 08:30:59+00:00,"#MVID
На бывшем заводе Samsung запущено первое контрактное производство для сети М.Видео под ее собственными брендами — Коммерсантъ

Ритейлер планирует выпуск партии телевизоров под собственными брендами Hi и Carrera. Объем потенциального производства составит до 500 тыс. единиц в год",['MVID'],['MVID'],['MVID'],False,MVID,М.Видео,розничная торговля,company_specific,MVID На бывшем заводе Samsung запущено первое контрактное производство для сети М.Видео под ее собственными брендами Коммерсантъ Ритейлер планирует выпуск партии телевизоров под собственными брендами Hi и Carrera. Объем потенциального производства составит до 500 тыс. единиц в год,0.0986842105263157,0.0,0.9342105263157896,0.0657894736842105,0.2493421052631579,neutral,positive
62381,2024-07-03 05:57:38+00:00,"#MVID
**ЦБ РФ зарегистрировал допэмиссию ""М.Видео"" на 17% от уставного капитала** — Интерфакс",['MVID'],['MVID'],['MVID'],False,MVID,М.Видео,розничная торговля,company_specific,"MVID ЦБ РФ зарегистрировал допэмиссию ""М.Видео"" на 17 от уставного капитала Интерфакс",0.2678571428571428,0.0,0.8214285714285714,0.1785714285714285,0.3339285714285714,positive,positive
62594,2024-07-08 07:15:55+00:00,"#OZON #MVID #YDEX
**Маркетплейсы обогнали федеральные сети и стали лидерами по продажам смартфонов **— РБК

В 1п 2024г — 36% рынка в штучном выражении были проданы на маркетплейсах. Ранее лидером продаж была М.Видео-Эльдорадо. Их доля снизилась с 40 до 34%",['MVID'],['MVID'],['MVID'],False,MVID,М.Видео,розничная торговля,company_specific,OZON MVID YDEX Маркетплейсы обогнали федеральные сети и стали лидерами по продажам смартфонов РБК В 1п 2024г 36 рынка в штучном выражении были проданы на маркетплейсах. Ранее лидером продаж была М.Видео-Эльдорадо. Их доля снизилась с 40 до 34,0.0986842105263157,0.0,0.9342105263157896,0.0657894736842105,0.2493421052631579,neutral,positive
62690,2024-07-10 07:25:25+00:00,"#MVID
**«М.Видео» регистрирует товарный знак «М.финансы» для финансовых услуг** — Frank Media",['MVID'],['MVID'],['MVID'],False,MVID,М.Видео,розничная торговля,company_specific,MVID М.Видео регистрирует товарный знак М.финансы для финансовых услуг Frank Media,0.3409090909090909,0.0,0.7727272727272727,0.2272727272727273,0.3704545454545455,positive,positive
63186,2024-07-24 16:53:39+00:00,"#MVID
ГЕНДИРЕКТОР ПАО ""М.ВИДЕО"" СТАЛ МАЖОРИТАРНЫМ АКЦИОНЕРОМ РИТЕЙЛЕРА - КОМПАНИЯ


[MVID](https://www.tinkoff.ru/invest/stocks/MVID?utm_source=security_share) 150.4₽

**Замечено Шпионом РЦБ.
Подключить:** @StockSpy_bot",['MVID'],['MVID'],['MVID'],False,MVID,М.Видео,розничная торговля,company_specific,"MVID ГЕНДИРЕКТОР ПАО ""М.ВИДЕО"" СТАЛ МАЖОРИТАРНЫМ АКЦИОНЕРОМ РИТЕЙЛЕРА - КОМПАНИЯ MVID( 150.4 Замечено Шпионом РЦБ. Подключить: StockSpy_bot",0.2083333333333333,0.0,0.8611111111111112,0.1388888888888889,0.3041666666666667,positive,positive
63187,2024-07-24 16:54:20+00:00,"#MVID [М.видео](https://www.tinkoff.ru/invest/stocks/MVID?utm_source=security_share)
🤑 **Инсайдерская сделка**

2.1. Ужахов Билан Абдурахимович.

2.7. Количество/доля голосов до совершения сделки: 0 голосов / 0%;

2.8. Количество/доля голосов после совершения сделки: 96 415 245 голосов / 53,6331008 %

дата наступления основания, в силу которого лицо приобрело право распоряжаться определенным количеством голосов, приходящихся на голосующие акции, составляющие уставный капитал эмитента: 22.07.2024 г.

👉 [Полный текст сообщения](https://www.e-disclosure.ru/portal/event.aspx?EventId=AVJTfc-ChrEiCyAvjiwF77Q-B-B)

**Замечено  Шпионом РЦБ.**
**Подключить:** @StockSpy_bot",['MVID'],['MVID'],['MVID'],False,MVID,М.Видео,розничная торговля,company_specific,"MVID М.видео( Инсайдерская сделка 2.1. Ужахов Билан Абдурахимович. 2.7. Количестводоля голосов до совершения сделки: 0 голосов 0; 2.8. Количестводоля голосов после совершения сделки: 96 415 245 голосов 53,6331008 дата наступления основания, в силу которого лицо приобрело право распоряжаться определенным количеством голосов, приходящихся на голосующие акции, составляющие уставный капитал эмитента: 22.07.2024 г. Полный текст сообщения( Замечено Шпионом РЦБ. Подключить: StockSpy_bot",0.2288135593220339,0.0,0.847457627118644,0.1525423728813559,0.314406779661017,positive,positive
63188,2024-07-24 16:55:05+00:00,"⬆️📈 **#MVID**** 6.4M₽ +1.38%**

🔷🔶 **Аномальный объем и изменение цены **
[**М.видео**](https://www.tinkoff.ru/invest/stocks/MVID?utm_source=security_share)

Объём: 6.4M₽ (41594 лотов)
Покупка: 95% Продажа: 5%
Цена: 154.7₽

Изменение цены:
    на объеме: +1.38%
    за сегодня: +5.53%

Время: 2024-07-24 19:54:33
**Замечено Шпионом РЦБ.**
**Подключить: ****@StockSpy_bot**",['MVID'],['MVID'],['MVID'],False,MVID,М.Видео,розничная торговля,company_specific,MVID 6.4M 1.38 Аномальный объем и изменение цены М.видео( Объём: 6.4M (41594 лотов) Покупка: 95 Продажа: 5 Цена: 154.7 Изменение цены: на объеме: 1.38 за сегодня: 5.53 Время: 2024-07-24 19:54:33 Замечено Шпионом РЦБ. Подключить: StockSpy_bot,-0.05,0.0857142857142857,0.8428571428571429,0.0714285714285714,0.175,neutral,neutral
63203,2024-07-25 08:52:36+00:00,"🔥 **Обязательной оферты по выкупу акций М.Видео (MVID) законом не предусмотрено. Новый бенефициар является аффилированным лицом, что является исключением в законе.** #аналитика

24 июля [стало известно](https://www.e-disclosure.ru/portal/event.aspx?EventId=AVJTfc-ChrEiCyAvjiwF77Q-B-B) о том, что CEO MVID Ужахов Билан стал владельцем 53.63% голосов ПАО ""М.видео"". По закону об АО в случае превышения новым акционером 30%, 50% или 75% акций он обязан направить обязательную оферту о выкупе остальным акционерам по цене не ниже, чем наибольшая цена, по которой он приобретал акции и не ниже средневзвешенной за последние 6 мес. (190 руб./акцию). На этом акции М.Видео выросли со 145 до 165 руб./акцию.

Однако, согласно [п.8 ст. 84.2](https://www.consultant.ru/document/cons_doc_LAW_8743/9a37f421b78a49d05ed871c909f77dcc0b49e325/) требование не распространяется на передачу акций аффилированным лицам, коим [является](https://www.e-disclosure.ru/portal/files.aspx?id=11014&type=6) CEO MVID Ужахов. Таким образом, оферта миноритариям не предусмотрена. 

😀 @AK47pfl","['MAGN', 'MVID']",[],"['MVID', 'MAGN']",True,MVID,М.Видео,розничная торговля,industry,"Обязательной оферты по выкупу акций М.Видео (MVID) законом не предусмотрено. Новый бенефициар является аффилированным лицом, что является исключением в законе. аналитика 24 июля . На этом акции М.Видео выросли со 145 до 165 руб.акцию. Однако, согласно п.8 ст. 84.2( требование не распространяется на передачу акций аффилированным лицам, коим является( CEO MVID Ужахов. Таким образом, оферта миноритариям не предусмотрена. AK47pfl",0.1034482758620689,0.0,0.9310344827586208,0.0689655172413793,0.2517241379310345,neutral,positive
63295,2024-07-27 07:12:37+00:00,"👍** Главное за неделю: дивиденды и корп события**

**💰 СД ММК рекомендовал 2.494 руб дивидендов за 6мес2024**
Доходность 5.5%

**💰 СД Северстали рекомендовал дивиденды 31.06 руб за 2кв2024**
Доходность 2%.

**💰** 18 сентября —  ВОСА Банка Санкт-Петербург по дивидендам за 6мес2024

💩 СЕО М.Видео стал мажоритарным акционером компании
Его доля увеличилась с 0 до более чем 50% 
Обязательной оферты по выкупу акций М.Видео законом[** не предусмотрено**](https://t.me/cbrstocks/63203)

**🏦****  8 августа — ВОСА Банка Санкт-Петербург об одобрении байбэка**
СД рекомендовал выкупить 20 млн акций 

**⛽️**** Добыча газа в РФ в первом полугодии** выросла** на 8.3% г/г, до 357.3 млрд кубометров **
Наибольший прирост показал Газпром
Производство СПГ в России в июне выросло на 8.7%, до 2.5 млн тонн

**⛽️**** Госпакет ТГК-2 передан в управление структуре Газпром энергохолдинга**","['NVTK', 'GAZP', 'SIBN', 'MVID']",[],"['GAZP', 'NVTK', 'MVID', 'SIBN']",False,MVID,М.Видео,розничная торговля,industry,"Главное за неделю: дивиденды и корп события СД ММК рекомендовал 2.494 руб дивидендов за 6мес2024 Доходность 5.5 СД Северстали рекомендовал дивиденды 31.06 руб за 2кв2024 Доходность 2. 18 сентября ВОСА Банка Санкт-Петербург по дивидендам за 6мес2024 СЕО М.Видео стал мажоритарным акционером компании Его доля увеличилась с 0 до более чем 50 Обязательной оферты по выкупу акций М.Видео законом не предусмотрено( 8 августа ВОСА Банка Санкт-Петербург об одобрении байбэка СД рекомендовал выкупить 20 млн акций Добыча газа в РФ в первом полугодии выросла на 8.3 гг, до 357.3 млрд кубометров Наибольший прирост показал Газпром Производство СПГ в России в июне выросло на 8.7, до 2.5 млн тонн Госпакет ТГК-2 передан в управление структуре Газпром энергохолдинга",0.05,0.0,0.9705550425772032,0.0294449574227967,0.225,neutral,neutral
63706,2024-08-13 08:06:03+00:00,"**ФАС ПРЕДЛОЖИЛА DNS, ""М.ВИДЕО"" И ""СИТИЛИНК"" ДОБРОВОЛЬНО ОГРАНИЧИТЬ ЦЕНЫ НА БЫТОВУЮ ТЕХНИКУ И ЭЛЕКТРОНИКУ - СЛУЖБА**
Пошла борьба с инфляцией по [Сальвадорскому сценарию](https://t.me/moexwolf/13515)",['MVID'],[],['MVID'],True,MVID,М.Видео,розничная торговля,industry,"ФАС ПРЕДЛОЖИЛА DNS, ""М.ВИДЕО"" И ""СИТИЛИНК"" ДОБРОВОЛЬНО ОГРАНИЧИТЬ ЦЕНЫ НА БЫТОВУЮ ТЕХНИКУ И ЭЛЕКТРОНИКУ - СЛУЖБА Пошла борьба с инфляцией по Сальвадорскому сценарию(",-0.05,0.1153846153846153,0.7884615384615384,0.0961538461538461,0.175,neutral,neutral
