Показатель,value_float
"Выручка, млрд руб",8622.0
"Операционная прибыль, млрд руб",1192.0
"EBITDA, млрд руб",1785.0
"Чистая прибыль, млрд руб",848.5
"Опер.денежный поток, млрд руб",1788.0
"CAPEX, млрд руб",780.0
"FCF, млрд руб",979.0
"Див.выплата, млрд руб",722.8
"Дивиденд, руб/акцию",1055.0
"Див доход, ао, %",14.6
"Дивиденды/прибыль, %",85.0
"Опер. расходы, млрд руб",671.0
"Амортизация, млрд руб",593.0
"Расх на персонал, млрд руб",366.0
"Процентные расходы, млрд руб",26.7
"Активы, млрд руб",9283.0
"Чистые активы, млрд руб",6826.0
"Долг, млрд руб",380.0
"Наличность, млрд руб",1526.0
"Чистый долг, млрд руб",-1146.0
"Цена акции ао, руб",7241.0
"Число акций ао, млн",677.7
"Капитализация, млрд руб",4907.0
"EV, млрд руб",3761.0
"Баланс стоимость, млрд руб",6731.0
"EPS, руб",1252.0
"FCF/акцию, руб",1445.0
"BV/акцию, руб",9933.0
"Рентаб EBITDA, %",20.7
"Чистая рентаб, %",9.8
"Доходность FCF, %",20.0
"ROE, %",12.4
"ROA, %",9.1
P/E,5.78
P/FCF,5.01
P/S,0.57
P/BV,0.73
EV/EBITDA,2.11
Долг/EBITDA,-0.64
"R&D/CAPEX, %",0.0
"CAPEX/Выручка, %",9.0
IR рейтинг,2.4
Качество фин.отчетности,1.0
Презентации для инвесторов,1.0
Присутствие на смартлабе,1.0
Годовой отчет,5.0
Сайт для инвесторов,5.0
Календарь инвесторов,3.0
Обратная связь,1.0
