id,date,text,tickers,tickers_from_tags,tickers_from_keywords,has_media,ticker,company_name,industry,news_type
55756,2025-04-14,"**Reuters:**

● ЕС опасается энергетической зависимости от американского СПГ и рассматривает варианты диверсификации поставок. 

● Европейские корпорации заявили, что в случае мира на Украине они готовы увеличить поставки СПГ из РФ в 2 раза с текущих объемов. 

[reuters.com](https://www.reuters.com/business/energy/back-russian-gas-trump-wary-eu-has-energy-security-dilemma-2025-04-14/)",['NVTK'],[],['NVTK'],False,NVTK,Новатэк,газ,industry
55339,2025-04-09,"❕ Движения >5% по итогам вчерашнего дня:

   `TGKN    ТГК-14      +13.85%`
   `CBOM    МКБ ао       -5.42%`
   `MTLR    Мечел ао     -5.50%`
   `TRMK    ТМК ао       -5.60%`
   `MTLRP   Мечел ап     -5.67%`
   `NVTK    Новатэк ао   -5.73%`
   `CHMF    СевСт-ао     -5.75%`
   `RNFT    РуссНфт ао   -5.89%`
   `PIKK    ПИК ао       -6.03%`
   `SMLT    Самолет ао   -6.23%`
   `VKCO    МКПАО ""ВК""   -6.26%`
   `AFKS    Система ао   -6.37%`
   `ENPG    ЭН+ГРУП ао   -8.43%`

__* среди российских акций 1 и 2 эшелонов с учётом утренней, основной и вечерней сессий__","['NVTK', 'AFKS']",[],"['AFKS', 'NVTK']",False,NVTK,Новатэк,газ,industry
55342,2025-04-09,"**The Economist:**

⚪️Япония готова увеличить закупки американских СПГ и вооружения, а также ослабить ограничения на ввоз сельхозтоваров и автомобилей из США взамен на снижение пошлин. 

⚪️Но даже если США удастся вынудить ряд стран пойти на уступки по тарифам, торговый баланс определяется не тарифными ставками, а моделями сбережений и инвестиций. Высокий спрос будет и дальшe приводить к дефициту торгового баланса. 

[economist.com](https://www.economist.com/finance-and-economics/2025/04/08/the-world-flatters-the-tariff-king)",['NVTK'],[],['NVTK'],False,NVTK,Новатэк,газ,industry
55218,2025-04-07,"Китай прекратил поставки СПГ из США

[profinance.ru](https://www.profinance.ru/news/2025/04/07/cfm6-torgovye-vojny-kitaj-prekratil-postavki-spg-iz-ssha.html)",['NVTK'],[],['NVTK'],False,NVTK,Новатэк,газ,industry
54881,2025-04-03,"Новатэк** (NVTK) **за вчера: ** +5.6%**

Всплеск интереса к бумагам компании во вторник вызвала информация о признаках возобновления деятельности «Арктик СПГ – 2». 

На операционном уровне увеличение продаж газа НОВАТЭКом в 2025 г. возможно за счет запуска этого проекта, хотя большую неопределенность представляет продолжительность его работы в календарном году, реализованные объемы и цены продаж.

[bcs-express.ru](https://bcs-express.ru/novosti-i-analitika/1743618339-itogi-torgov-dostoino-derzhim-udary-kliuchevykh-faktorov)",['NVTK'],[],['NVTK'],True,NVTK,Новатэк,газ,industry
54849,2025-04-03,"❕ Движения >5% по итогам вчерашнего дня:

   `NVTK    Новатэк ао   +5.64%`
   `FLOT    Совкомфлот   +5.12%`

__* среди российских акций 1 и 2 эшелонов с учётом утренней, основной и вечерней сессий__",['NVTK'],[],['NVTK'],False,NVTK,Новатэк,газ,industry
54069,2025-03-18,"**Китай прекратил импорт СПГ из США**

Трейдеры вынуждены перенаправлять поставки, чтобы избежать введенного 10 февраля Пекином 15%-процентного тарифа на поставки СПГ

[finam.ru](https://www.finam.ru/publications/item/kitay-prekratil-import-spg-iz-ssha-20250318-1434/)",['NVTK'],[],['NVTK'],False,NVTK,Новатэк,газ,industry
53764,2025-03-12,"Совет директоров НОВАТЭКа рекомендовал дивиденды ₽46.65 на акцию*

[rbc.ru](https://www.rbc.ru/quote/news/article/67cfeaf39a794742f362084e?from=copy)
* __див.доходность = 3.7%__",['NVTK'],[],['NVTK'],False,NVTK,Новатэк,газ,industry
53685,2025-03-11,"Сегодня состоятся заседания советов директоров ""Яндекса"" и ""НОВАТЭКа"" по дивидендам

[finam.ru](https://www.finam.ru/publications/item/sovet-direktorov-yandeksa-obsudit-dividendy-osnovnye-sobytiya-11-marta-20250311-0900/)",['NVTK'],[],['NVTK'],False,NVTK,Новатэк,газ,industry
53679,2025-03-11,"**Большая семерка обсуждает полный отказ от российского газа**

Энергетические группы призывают Б7 отказаться от российского газа и перейти на СПГ в целях энергетической безопасности

[profinance.ru](https://www.profinance.ru/news/2025/03/11/cfc6-bolshaya-semerka-obsuzhdaet-polnyj-otkaz-ot-rossijskogo-gaza.html)",['NVTK'],[],['NVTK'],False,NVTK,Новатэк,газ,industry
53361,2025-03-05,"❕ Движения >5% по итогам вчерашнего дня:

   `LEAS    Европлан     +9.55%`
   `MRKC    РоссЦентр    +7.54%`
   `VSMO    ВСМПО-АВСМ   +6.56%`
   `MBNK    МТС Банк     +6.38%`
   `UPRO    Юнипро ао    +6.18%`
   `IVAT    iИВА         +6.15%`
   `YDEX    ЯНДЕКС       +5.49%`
   `SMLT    Самолет ао   +5.39%`
   `T       Т-Техно ао   +5.23%`
   `VSEH    ВИ.ру        +5.09%`
   `NVTK    Новатэк ао   +5.08%`

__* среди российских акций 1 и 2 эшелонов с учётом утренней, основной и вечерней сессий__","['NVTK', 'MTSS']",[],"['MTSS', 'NVTK']",False,NVTK,Новатэк,газ,industry
52824,2025-02-23,"Экспорт СПГ из США достиг свежего рекорда, прибавив за год 20%

[profinance.ru](https://www.profinance.ru/news/2025/02/21/cf58-eksport-spg-iz-ssha-dostig-svezhego-rekorda-pribaviv-za-god-20.html)",['NVTK'],[],['NVTK'],False,NVTK,Новатэк,газ,industry
