Показатель,value_float
"BV/акцию, руб",-31.2
"CAPEX, млрд руб",189.3
"CAPEX/Выручка, %",15.0
"EBITDA, млрд руб",317.7
"EPS, руб",-2.65
"EV, млрд руб",1474.0
EV/EBITDA,4.64
"FCF, млрд руб",-213.3
"FCF/акцию, руб",-22.1
P/BV,-0.49
P/E,-5.73
P/FCF,-0.69
P/S,0.12
"R&D/CAPEX, %",0.0
"ROA, %",-0.9
"ROE, %",-189.3
"Активы, млрд руб",2761.0
"Амортизация, млрд руб",150.7
"Баланс стоимость, млрд руб",-301.1
"Выручка, млрд руб",1232.0
"Див доход, ао, %",0.0
"Дивиденды/прибыль, %",0.0
"Долг, млрд руб",1485.0
Долг/EBITDA,4.18
"Доходность FCF, %",-145.5
"Капитализация, млрд руб",146.6
"Наличность, млрд руб",157.9
"Опер. расходы, млрд руб",245.6
"Опер.денежный поток, млрд руб",1.14
"Операционная прибыль, млрд руб",167.0
"Рентаб EBITDA, %",25.8
"Цена акции ао, руб",15.2
"Число акций ао, млн",9650.0
"Чистая прибыль, млрд руб",-25.6
"Чистая рентаб, %",-2.1
"Чистые активы, млрд руб",13.5
"Чистый долг, млрд руб",1327.0
