id,date,text,tickers,tickers_from_tags,tickers_from_keywords,has_media,ticker,company_name,industry,news_type,clean_text,sentiment_compound,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_category,event_earnings,event_dividends,event_mergers_acquisitions,event_regulatory,event_management,event_products,event_macroeconomic,has_event,event_impact,event_direction
67367,2025-01-03,"#Политика #SIBN #GAZP
Вучич заявил об отсутствии «хороших новостей» после разговора с США по NIS - Коммерсант

Господин Вучич сообщал 14 декабря, что США могут ввести санкции против NIS, так как совладельцами компании являются Газпром нефть (50%) и Газпром (6,15%). 16 декабря президент Сербии объявлял о начале переговоров с США и Россией из-за возможных ограничений",['GAZP'],['GAZP'],[],False,GAZP,Газпром,газ,company_specific,"Политика SIBN GAZP Вучич заявил об отсутствии хороших новостей после разговора с США по NIS - Коммерсант Господин Вучич сообщал 14 декабря, что США могут ввести санкции против NIS, так как совладельцами компании являются Газпром нефть (50) и Газпром (6,15). 16 декабря президент Сербии объявлял о начале переговоров с США и Россией из-за возможных ограничений",0.0,0.0,1.0,0.0,neutral,False,False,False,True,False,False,True,True,2,neutral
67370,2025-01-03,"Забавная конечно реакция на ожидаемую остановку транзита)))
Газпром почти -3% по дню

📍 С 1 января остановлен транзит газа из РФ в ЕС через Украину. Через Украину в ЕС в 2024 было поставлено около 16 млрд м3 или около половины оставшегося трубопроводного экспорта Газпрома в ЕС.
https://t.me/AK47pfl/19156

Минус половина от самого маржинального кусочка бизнеса",['GAZP'],[],['GAZP'],True,GAZP,Газпром,газ,industry,Забавная конечно реакция на ожидаемую остановку транзита))) Газпром почти -3 по дню С 1 января остановлен транзит газа из РФ в ЕС через Украину. Через Украину в ЕС в 2024 было поставлено около 16 млрд м3 или около половины оставшегося трубопроводного экспорта Газпрома в ЕС. Минус половина от самого маржинального кусочка бизнеса,0.0,0.0,1.0,0.0,neutral,False,False,False,False,False,False,False,False,1,neutral
67389,2025-01-06,"#Газ
**Еврокомиссия отменила переговоры по транзиту газа РФ через Украину, запланированные на 7 января**

Причина — на них не будет представителей украинской стороны.",['GAZP'],[],['GAZP'],False,GAZP,Газпром,газ,industry,"Газ Еврокомиссия отменила переговоры по транзиту газа РФ через Украину, запланированные на 7 января Причина на них не будет представителей украинской стороны.",0.0,0.0,1.0,0.0,neutral,False,False,False,False,False,False,False,False,1,neutral
67384,2025-01-06,"#Газ
Запасы газа в европейских хранилищах истощаются самыми быстрыми темпами с 2018 года — [Bloomberg](https://www.bloomberg.com/news/articles/2025-01-06/european-gas-storage-sites-deplete-at-fastest-pace-since-2018)

Подземные хранилища региона заполнены чуть более чем на 70% по сравнению с примерно 86% год назад.",['GAZP'],[],['GAZP'],False,GAZP,Газпром,газ,industry,Газ Запасы газа в европейских хранилищах истощаются самыми быстрыми темпами с 2018 года Bloomberg( Подземные хранилища региона заполнены чуть более чем на 70 по сравнению с примерно 86 год назад.,0.0,0.0,1.0,0.0,neutral,False,False,False,False,False,False,False,False,1,neutral
67392,2025-01-07,"#Политика
🇮🇱 Если заложники в Секторе Газа не будут отпущены до моего прихода на пост президента, начнется ад — Трамп",['GAZP'],[],['GAZP'],False,GAZP,Газпром,газ,industry,"Политика Если заложники в Секторе Газа не будут отпущены до моего прихода на пост президента, начнется ад Трамп",0.0,0.0,1.0,0.0,neutral,False,False,False,False,False,False,False,False,1,neutral
67408,2025-01-09,"#Нефтянка #Газ
**Потенциальные запасы нефти и газа в национальных секторах Арктики **

Если Гренландия и Канада отойдут США, Америка будет контролировать почти половину всех нефтегазовых запасов Арктики.",['GAZP'],[],['GAZP'],True,GAZP,Газпром,газ,industry,"Нефтянка Газ Потенциальные запасы нефти и газа в национальных секторах Арктики Если Гренландия и Канада отойдут США, Америка будет контролировать почти половину всех нефтегазовых запасов Арктики.",0.0,0.0,1.0,0.0,neutral,False,False,False,False,False,False,False,False,1,neutral
67414,2025-01-09,"**Новая реальность по крайней мере на следующие 4 года. Почти закончилось 60-летнее партнерство Газпрома (**[**GAZP**](https://neo.putinomics.ru/dashboard/GAZP/MOEX)**) и ЕС.** #аналитика 

При условии, что транзит через Украину так и не будет перезапущен, экспорт трубопроводного газа Газпромом в ЕС с 2021 году по 2025 год упадет в 9 раз... Среди значимых партнеров остается только Венгрия.

Объемы Газпрома в основном заместились падением потребления газа в ЕС (и импорта, соответственно) и ростом импорта СПГ из США. 

ЕС еще продолжает закупать СПГ из РФ, в 2024 году закупили 21 млрд м3. Но и эти объемы под риском. https://t.me/AK47pfl/17458

Трамп еще в первый срок начал выгонять РФ с газового рынка ЕС, Байден продолжил. И судя по заявлениям Трампа, это новая реальность для Газпрома, по крайней мере, на следующие 4 года. https://t.me/AK47pfl/18856

😀 @AK47pfl",['GAZP'],[],['GAZP'],True,GAZP,Газпром,газ,industry,"Новая реальность по крайней мере на следующие 4 года. Почти закончилось 60-летнее партнерство Газпрома (GAZP( и ЕС. аналитика При условии, что транзит через Украину так и не будет перезапущен, экспорт трубопроводного газа Газпромом в ЕС с 2021 году по 2025 год упадет в 9 раз... Среди значимых партнеров остается только Венгрия. Объемы Газпрома в основном заместились падением потребления газа в ЕС (и импорта, соответственно) и ростом импорта СПГ из США. ЕС еще продолжает закупать СПГ из РФ, в 2024 году закупили 21 млрд м3. Но и эти объемы под риском. Трамп еще в первый срок начал выгонять РФ с газового рынка ЕС, Байден продолжил. И судя по заявлениям Трампа, это новая реальность для Газпрома, по крайней мере, на следующие 4 года. AK47pfl",0.0,0.0,1.0,0.0,neutral,False,False,False,False,False,False,False,False,1,neutral
67417,2025-01-09,"#Газ #Политика
Премьер Словакии Фицо провел переговоры с ЕК по транзиту газа через Украину без ее представителей",['GAZP'],[],['GAZP'],False,GAZP,Газпром,газ,industry,Газ Политика Премьер Словакии Фицо провел переговоры с ЕК по транзиту газа через Украину без ее представителей,0.0,0.0,1.0,0.0,neutral,False,False,False,False,False,False,False,False,1,neutral
67457,2025-01-10,"#GAZP #SIBN #SNGS #SNGSP
ВЕЛИКОБРИТАНИЯ ПРИСОЕДИНЯЕТСЯ К САНКЦИЯМ ПРОТИВ ""ГАЗПРОМ НЕФТИ"" И ""СУРГУТНЕФТЕГАЗА"" - МИНФИН США


[GAZP](https://www.tinkoff.ru/invest/stocks/GAZP?utm_source=security_share) 126.04₽
[SIBN](https://www.tinkoff.ru/invest/stocks/SIBN?utm_source=security_share) 601.8₽
[SNGS](https://www.tinkoff.ru/invest/stocks/SNGS?utm_source=security_share) 23.3₽
[SNGSP](https://www.tinkoff.ru/invest/stocks/SNGSP?utm_source=security_share) 57.5₽

**Замечено Шпионом РЦБ.
Подключить:** @StockSpy_bot","['SNGS', 'GAZP']","['GAZP', 'SNGS']",[],False,GAZP,Газпром,газ,company_specific,"GAZP SIBN SNGS SNGSP ВЕЛИКОБРИТАНИЯ ПРИСОЕДИНЯЕТСЯ К САНКЦИЯМ ПРОТИВ ""ГАЗПРОМ НЕФТИ"" И ""СУРГУТНЕФТЕГАЗА"" - МИНФИН США GAZP( 126.04 SIBN( 601.8 SNGS( 23.3 SNGSP( 57.5 Замечено Шпионом РЦБ. Подключить: StockSpy_bot",0.0,0.0,1.0,0.0,neutral,False,False,False,True,False,False,False,True,2,neutral
67456,2025-01-10,"**Больше всех досталось Газпрому (**[**GAZP**](https://neo.putinomics.ru/dashboard/GAZP/MOEX)**).** #шок_новости 

В SDN попали:
✍️ Газпром нефть ([SIBN](https://neo.putinomics.ru/dashboard/SIBN/MOEX)) — основной источник денежных потоков группы
✍️ СПГ завод на Балтике — куда с него теперь деть СПГ?
✍️ Сербский актив NIS
✍️ Множество танкеров Газпром нефти
✍️ и т.п.

😀 @AK47pfl",['GAZP'],[],['GAZP'],False,GAZP,Газпром,газ,industry,Больше всех досталось Газпрому (GAZP( шок_новости В SDN попали: Газпром нефть (SIBN( основной источник денежных потоков группы СПГ завод на Балтике куда с него теперь деть СПГ? Сербский актив NIS Множество танкеров Газпром нефти и т.п. AK47pfl,0.0,0.0,1.0,0.0,neutral,False,False,False,False,False,False,False,False,1,neutral
67452,2025-01-10,"#SIBN
**США вводят санкции против сербской компании NIS — дочки Газпром нефти**",['GAZP'],[],['GAZP'],False,GAZP,Газпром,газ,industry,SIBN США вводят санкции против сербской компании NIS дочки Газпром нефти,0.0,0.0,1.0,0.0,neutral,False,False,False,True,False,False,True,True,2,neutral
67451,2025-01-10,"#GAZP
США ВНЕСЛИ В САНКЦИОННЫЙ СПИСОК ЗАВОД СПГ ГАЗПРОМА НА БАЛТИКЕ - ""ГАЗПРОМ СПГ ПОРТОВАЯ""


[GAZP](https://www.tinkoff.ru/invest/stocks/GAZP?utm_source=security_share) 126.52₽

**Замечено Шпионом РЦБ.
Подключить:** @StockSpy_bot",['GAZP'],['GAZP'],[],False,GAZP,Газпром,газ,company_specific,"GAZP США ВНЕСЛИ В САНКЦИОННЫЙ СПИСОК ЗАВОД СПГ ГАЗПРОМА НА БАЛТИКЕ - ""ГАЗПРОМ СПГ ПОРТОВАЯ"" GAZP( 126.52 Замечено Шпионом РЦБ. Подключить: StockSpy_bot",0.0,0.0,1.0,0.0,neutral,False,False,False,True,False,False,False,True,2,neutral
