Показатель,Период 1,Период 2,Период 3,Период 4,Период 5,Категория
P/E,"9,55","4,63","4,62","20,53","6,23",Мультипликаторы
P/B,"1,11","1,42","0,67","0,53","0,45",Мультипликаторы
P/S,"0,85","1,25","0,59","0,47","0,41",Мультипликаторы
P/CF,"6,64","13,04","-20,09","3,29","10,36",Мультипликаторы
P/FCF,"37,36","-830,07","-5,01","8,23","-5,67",Мультипликаторы
EV/S,"1,5","1,64","1,04","0,95","0,95",Мультипликаторы
EV/EBITDA,"14,71","6,81","7,17","14,72","7,64",Мультипликаторы
EV/EBIT,"10,21","4,5","5,06","17,19","12,25",Мультипликаторы
Коэффициент долга,"0,62","0,5","0,5","0,49","0,49",Мультипликаторы
D/E,"1,66","0,99","1,0","0,95","0,98",Мультипликаторы
CAPEX/Выручка,"10,47","9,7","8,87","8,65","11,31",Мультипликаторы
NetDebt/EBITDA,"6,39","1,64","3,09","7,35","4,29",Мультипликаторы
Долг/EBITDA,"8,95","2,33","4,66","10,01","5,3",Мультипликаторы
ROE,"11,6","30,64","14,57","2,56","7,16",Мультипликаторы
ROA,"4,37","15,43","7,28","1,31","3,62",Мультипликаторы
Return on Sales,"14,65","36,5","20,55","5,51","7,71",Мультипликаторы
ROIC,"1,91","11,29","5,44","-0,45","2,23",Мультипликаторы
ROCE,"8,6","26,84","14,33","3,79","6,04",Мультипликаторы
Net Margin,"8,86","26,89","12,83","2,31","6,65",Мультипликаторы
Операционная маржа,"3,26","17,33","9,42","-0,65","3,05",Мультипликаторы
EBITDA рентабельность,"10,17","24,12","14,51","6,44","12,37",Мультипликаторы
Тек. ливкидность,"2,11","1,84","2,2","2,14","1,24",Мультипликаторы
Валовая маржа,"16,97","31,02","22,93","14,48","23,35",Мультипликаторы
Выручка,8 566,11 994,13 974,12 213,12 082,Финансовые показатели
Валовая прибыль,1 454,3 721,3 204,1 768,2 821,Финансовые показатели
EBITDA,871,2 893,2 028,786,1 494,Финансовые показатели
EBIT,1 255,4 378,2 871,673,932,Финансовые показатели
Процентные доходы,151,63,133,144,457,Финансовые показатели
Процентные расходы,690,800,838,573,531,Финансовые показатели
Чистые процентные доходы/расходы,-   539,-   737,-   705,-   429,-   74,Финансовые показатели
Операционный доход,279,2 079,1 316,-   79,368,Финансовые показатели
Расходы на персонал,469,617,697,755,848,Финансовые показатели
Прибыль до налогов,716,3 641,2 166,244,858,Финансовые показатели
Чистая прибыль,759,3 225,1 793,282,803,Финансовые показатели
Капитал на акционеров,6 543,10 524,12 307,11 016,11 216,Финансовые показатели
Активы,17 378,20 906,24 631,21 464,22 201,Финансовые показатели
CA Оборотные активы,5 877,8 436,10 115,7 942,8 361,Финансовые показатели
Денежные средства и их эквиваленты,2 229,1 984,3 196,2 087,1 503,Финансовые показатели
Обязательства,10 835,10 382,12 324,10 448,10 985,Финансовые показатели
Собственный капитал,6 543,10 524,12 307,11 016,11 216,Финансовые показатели
Капитал на акционеров,759,3 225,1 793,282,803,Финансовые показатели
Внеоборотные активы,11 501,12 470,14 516,13 522,13 840,Финансовые показатели
CFO операционные денежные потоки,1 091,1 146,-   412,1 760,483,Финансовые показатели
FCF на акцию,194,-   18,-  1 651,704,-   883,Финансовые показатели
Инвестиционный денежный поток,128,490,472,-  1 030,-  1 078,Финансовые показатели
CFF Денежный поток от финансовой деятельности,-   694,-  1 891,1 415,-  1 747,113,Финансовые показатели
CB Текущие кредиты,730,1 894,2 547,1 966,4 520,Финансовые показатели
Общий долг,5 563,4 749,6 261,5 779,6 415,Финансовые показатели
Текущие обязательства,2 791,4 592,4 591,3 719,6 759,Финансовые показатели
Долгосрочные кредиты,7 062,4 839,6 910,5 900,3 398,Финансовые показатели
Долгосрочные обязательства,8 044,5 790,7 733,6 729,4 226,Финансовые показатели
Чистый долг,7 792,6 733,9 457,7 866,7 918,Финансовые показатели
Общие расходы,1 175,1 642,1 888,1 847,2 453,Финансовые показатели
