Показатель,Период 1,Период 2,Период 3,Период 4,Период 5,Категория
P/E,"14,44","3,38","5,19","4,93","5,33",Мультипликаторы
P/B,"1,85","1,66","0,68","0,88","0,62",Мультипликаторы
P/S,"1,36","0,89","0,52","0,76","0,55",Мультипликаторы
P/CF,"7,0","3,9","2,55","5,07","3,75",Мультипликаторы
P/FCF,"16,03","6,7","5,03","18,94","12,0",Мультипликаторы
EV/S,"1,38","0,9","0,42","0,65","0,46",Мультипликаторы
EV/EBITDA,"6,8","2,37","1,9","2,52","2,3",Мультипликаторы
EV/EBIT,"10,85","2,67","3,33","3,47","3,7",Мультипликаторы
Коэффициент долга,"0,39","0,35","0,27","0,26","0,24",Мультипликаторы
D/E,"0,63","0,54","0,38","0,36","0,32",Мультипликаторы
CAPEX/Выручка,"10,94","9,52","11,36","12,43","13,17",Мультипликаторы
NetDebt/EBITDA,"0,08","0,03","-0,45","-0,46","-0,48",Мультипликаторы
Долг/EBITDA,"0,77","0,22","0,48","0,37","0,32",Мультипликаторы
ROE,"12,79","48,84","13,14","17,84","11,56",Мультипликаторы
ROA,"7,85","31,81","9,54","13,12","8,73",Мультипликаторы
Return on Sales,"12,7","33,66","12,64","18,61","12,38",Мультипликаторы
ROIC,"12,38","39,17","14,47","16,35","9,6",Мультипликаторы
ROCE,"13,96","53,25","14,78","19,78","12,61",Мультипликаторы
Net Margin,"9,45","26,3","10,06","15,5","10,38",Мультипликаторы
Операционная маржа,"14,76","31,63","15,71","19,15","12,97",Мультипликаторы
EBITDA рентабельность,"20,25","37,96","22,16","25,62","19,91",Мультипликаторы
Тек. ливкидность,"1,56","2,4","2,27","2,16","2,22",Мультипликаторы
Валовая маржа,"26,71","40,79","24,67","28,82","22,91",Мультипликаторы
Выручка,460 180,873 189,699 817,763 390,768 466,Финансовые показатели
Валовая прибыль,122 893,356 191,172 662,219 995,176 086,Финансовые показатели
EBITDA,93 170,331 491,155 050,195 597,153 023,Финансовые показатели
EBIT,58 420,293 958,88 471,142 105,95 133,Финансовые показатели
Процентные доходы,1 669,2 057,6 839,11 750,20 125,Финансовые показатели
Процентные расходы,3 129,2 689,5 969,6 514,5 500,Финансовые показатели
Чистые процентные доходы/расходы,-  1 460,-   632,870,5 236,14 625,Финансовые показатели
Операционный доход,67 912,276 174,109 928,146 184,99 699,Финансовые показатели
Расходы на персонал,50 289,80 827,60 713,73 300,76 818,Финансовые показатели
Прибыль до налогов,56 960,293 326,89 341,147 341,109 758,Финансовые показатели
Чистая прибыль,43 473,229 638,70 368,118 360,79 740,Финансовые показатели
Капитал на акционеров,338 228,468 333,533 341,662 019,688 633,Финансовые показатели
Активы,553 575,721 800,737 785,902 002,913 176,Финансовые показатели
CA Оборотные активы,210 636,406 955,315 876,397 724,352 600,Финансовые показатели
Денежные средства и их эквиваленты,63 352,62 649,144 214,161 809,114 435,Финансовые показатели
Обязательства,213 747,251 586,202 351,238 693,223 364,Финансовые показатели
Собственный капитал,339 828,470 214,535 434,663 309,689 812,Финансовые показатели
Капитал на акционеров,43 359,229 322,70 174,118 177,79 856,Финансовые показатели
Внеоборотные активы,342 939,314 845,421 909,504 278,560 576,Финансовые показатели
CFO операционные денежные потоки,89 403,198 844,142 649,114 845,113 463,Финансовые показатели
FCF на акцию,39 053,115 738,72 470,30 747,35 464,Финансовые показатели
Инвестиционный денежный поток,-  61 572,-  104 799,-  44 270,-  109 008,-  80 814,Финансовые показатели
CFF Денежный поток от финансовой деятельности,-  37 239,-  94 723,-  21 852,-  12 362,-  84 856,Финансовые показатели
CB Текущие кредиты,30 372,32 200,53 062,57 704,34 744,Финансовые показатели
Общий долг,7 536,9 529,-  69 613,-  89 287,-  73 386,Финансовые показатели
Текущие обязательства,135 066,169 758,139 271,183 741,158 694,Финансовые показатели
CL Текущая аренда,239,259,184,284,352,Финансовые показатели
Долгосрочная аренда,568,494,1 106,1 910,1 756,Финансовые показатели
Долгосрочные кредиты,40 516,39 225,20 249,12 624,12 578,Финансовые показатели
Долгосрочные обязательства,78 681,81 828,63 080,54 952,64 670,Финансовые показатели
Чистый долг,71 695,72 178,74 601,72 522,49 430,Финансовые показатели
Общие расходы,54 981,80 017,62 734,73 811,76 387,Финансовые показатели
