id,date,text,tickers,tickers_from_tags,tickers_from_keywords,has_media,ticker,company_name,industry,news_type,clean_text,sentiment_compound,sentiment_negative,sentiment_neutral,sentiment_positive,stock_impact,sentiment_category,sentiment_simple
60871,2024-05-21 11:53:40+00:00,"#CBOM [МОСКОВСКИЙ КРЕДИТНЫЙ БАНК](https://www.tinkoff.ru/invest/stocks/CBOM?utm_source=security_share)
💰 **Решения СД**

Текущая цена: 7.233 ₽

3.1. Рекомендовать годовому Общему собранию акционеров Банка не выплачивать акционерам Банка **дивиденды** по итогам 2023 года.

3.2. Рекомендовать годовому Общему собранию акционеров Банка прибыль по итогам 2023 года в размере 40 826 872 176 рублей 95 копеек не распределять и оставить в распоряжении Банка.

👉 [Полный текст сообщения](https://www.e-disclosure.ru/portal/event.aspx?EventId=cEcnFTaqxUO40l7x1h1-Agw-B-B)

**Замечено  Шпионом РЦБ.**
**Подключить:** @StockSpy_bot","['CBOM', 'VTBR']",['CBOM'],"['VTBR', 'CBOM']",False,CBOM,Московский Кредитный Банк,банк,company_specific,CBOM МОСКОВСКИЙ КРЕДИТНЫЙ БАНК( Решения СД Текущая цена: 7.233 3.1. Рекомендовать годовому Общему собранию акционеров Банка не выплачивать акционерам Банка дивиденды по итогам 2023 года. 3.2. Рекомендовать годовому Общему собранию акционеров Банка прибыль по итогам 2023 года в размере 40 826 872 176 рублей 95 копеек не распределять и оставить в распоряжении Банка. Полный текст сообщения( Замечено Шпионом РЦБ. Подключить: StockSpy_bot,0.2459016393442623,0.0,0.8360655737704918,0.16393442622950818,0.5229508196721312,positive,positive
61735,2024-06-17 10:27:58+00:00,"#CBOM
**МКБ планирует вывести с баланса заблокированные активы** — Интерфакс

Эксперт РА подтвердило рейтинг кредитоспособности МКБ на уровне ruA+, прогноз — стабильный.

Агентство отмечает, что вывод с баланса банка заблокированных активов окажет положительное влияние на его капитальную позицию в среднесрочной перспективе. Это было учтено в текущем уровне рейтинга.","['CBOM', 'VTBR']",['CBOM'],"['VTBR', 'CBOM']",False,CBOM,Московский Кредитный Банк,банк,company_specific,"CBOM МКБ планирует вывести с баланса заблокированные активы Интерфакс Эксперт РА подтвердило рейтинг кредитоспособности МКБ на уровне ruA, прогноз стабильный. Агентство отмечает, что вывод с баланса банка заблокированных активов окажет положительное влияние на его капитальную позицию в среднесрочной перспективе. Это было учтено в текущем уровне рейтинга.",0.08152173913043478,0.0,0.9456521739130435,0.05434782608695653,0.24076086956521742,neutral,positive
61907,2024-06-20 10:14:47+00:00,"#Политика  #Санкции
🇪🇺 **14-й пакет санкций против РФ будет ""жестким"", затронет энергетику, технологии, банковские услуги** — председатель Еврокомиссии Урсула фон дер Ляйен","['CBOM', 'SBER', 'VTBR']",[],"['SBER', 'VTBR', 'CBOM']",False,CBOM,Московский Кредитный Банк,банк,industry,"Политика Санкции 14-й пакет санкций против РФ будет ""жестким"", затронет энергетику, технологии, банковские услуги председатель Еврокомиссии Урсула фон дер Ляйен",0.17045454545454547,0.0,0.8863636363636364,0.11363636363636365,0.2852272727272728,neutral,positive
62119,2024-06-25 14:28:07+00:00,"#ЦБРФ
**🏛**** Доклад ЦБ РФ о банковском секторе в мае 2024г

** • Банки в мае увеличили корпоративные кредиты на 1.7%, розничные - на 2%

• Активный приток средств населения в банки РФ в мае продолжился, они выросли на 2.6%

• Средства юрлиц в банках в мае сократились на 2.2% после роста в апреле на 5%

• Прибыль банков в мае снизилась на 16% м/м, до 255 млрд руб. на фоне роста расходов и убытков от операций с ценными бумагами

• Темпы роста ипотеки в мае ускорились до 1.7% после 1.4% в апреле

• Потребкредитование с начала года выросло почти на 8%, что в 1.5 раза выше показателей аналогичного периода 2023г","['CBOM', 'VTBR']",[],"['VTBR', 'CBOM']",False,CBOM,Московский Кредитный Банк,банк,industry,"ЦБРФ Доклад ЦБ РФ о банковском секторе в мае 2024г Банки в мае увеличили корпоративные кредиты на 1.7, розничные - на 2 Активный приток средств населения в банки РФ в мае продолжился, они выросли на 2.6 Средства юрлиц в банках в мае сократились на 2.2 после роста в апреле на 5 Прибыль банков в мае снизилась на 16 мм, до 255 млрд руб. на фоне роста расходов и убытков от операций с ценными бумагами Темпы роста ипотеки в мае ускорились до 1.7 после 1.4 в апреле Потребкредитование с начала года выросло почти на 8, что в 1.5 раза выше показателей аналогичного периода 2023г",0.23375624759707808,0.038959374599513014,0.766243752402922,0.19479687299756507,0.516878123798539,positive,positive
62147,2024-06-26 11:58:18+00:00,"#CBOM [МОСКОВСКИЙ КРЕДИТНЫЙ БАНК](https://www.tinkoff.ru/invest/stocks/CBOM?utm_source=security_share)
💰 **Решения акционеров**

Текущая цена: 7.505 ₽

Не выплачивать акционерам Банка **дивиденды** по итогам 2023 года.

Прибыль по итогам 2023 года в размере 40 826 872 176 рублей 95 копеек не распределять и оставить в распоряжении Банка.

Не выплачивать вознаграждение членам Наблюдательного Совета Банка в период с даты их избрания до следующего годового Общего собрания акционеров в 2025 году в связи с исполнением ими функций членов Наблюдательного Совета Банка.

Одобрить выплату страховой компании страховой премии в размере, не превышающем 102 500 000 рублей, в рамках заключаемого с Банком в качестве страхователя договора страхования ответственности директоров и других руководителей исполнительных органов.

👉 [Полный текст сообщения](https://www.e-disclosure.ru/portal/event.aspx?EventId=WvdsP-C33FEq5TDaT7Znb9g-B-B)

**Замечено  Шпионом РЦБ.**
**Подключить:** @StockSpy_bot","['CBOM', 'VTBR']",['CBOM'],"['VTBR', 'CBOM']",False,CBOM,Московский Кредитный Банк,банк,company_specific,"CBOM МОСКОВСКИЙ КРЕДИТНЫЙ БАНК( Решения акционеров Текущая цена: 7.505 Не выплачивать акционерам Банка дивиденды по итогам 2023 года. Прибыль по итогам 2023 года в размере 40 826 872 176 рублей 95 копеек не распределять и оставить в распоряжении Банка. Не выплачивать вознаграждение членам Наблюдательного Совета Банка в период с даты их избрания до следующего годового Общего собрания акционеров в 2025 году в связи с исполнением ими функций членов Наблюдательного Совета Банка. Одобрить выплату страховой компании страховой премии в размере, не превышающем 102 500 000 рублей, в рамках заключаемого с Банком в качестве страхователя договора страхования ответственности директоров и других руководителей исполнительных органов. Полный текст сообщения( Замечено Шпионом РЦБ. Подключить: StockSpy_bot",0.1322314049586777,0.0,0.9118457300275482,0.0881542699724518,0.46611570247933887,neutral,positive
62272,2024-06-29 07:10:20+00:00,"👍** Главное за неделю: решения акционеров по дивидендам**

💰 **СД Транснефти**[** **](https://t.me/cbrstocks/62063)**рекомендовал дивиденды 177.2 руб**
Доходность: 11.12%

**💰**** Акционеры следующих компаний утвердили дивиденды**
• Ренессанс страхование: 2.3 руб (доходность 2.4%)
• Соллерс: 89 руб (9.5%)
• МТС: 35 руб (11.98%)
• Россети Москва: 0.14282 руб (11.07%)
• Татнефть: 25.17 руб (3.51%)
• Мосэнерго: 0.16038 руб (5.05%)
• Инарктика: 10 руб (1.19%)
• Газпромнефть: 19.49 руб (2.79%)
• Сургутнефтегаз: ап 12.29 руб (18.34%), ао 0.85 руб ( 2.9%)
• Совкомбанк: 1.14 руб (6.73%)
• Магнит 412.13 руб (6.51%)

❌ **Дивиденды за 2023 год не выплатят**
Газпром 
МТС-Банк
Юнипро
МКБ
Русолово
МФК Займер
ДВМП
Русснефть
ОВК
Полюс","['MTSS', 'TATN', 'LKOH', 'GAZP', 'PLZL', 'ROSN', 'NVTK', 'SIBN', 'CBOM', 'VTBR', 'SNGS']",[],"['GAZP', 'LKOH', 'ROSN', 'TATN', 'MTSS', 'SNGS', 'VTBR', 'NVTK', 'SIBN', 'CBOM', 'PLZL']",False,CBOM,Московский Кредитный Банк,банк,industry,"Главное за неделю: решения акционеров по дивидендам СД Транснефти ( дивиденды 177.2 руб Доходность: 11.12 Акционеры следующих компаний утвердили дивиденды Ренессанс страхование: 2.3 руб (доходность 2.4) Соллерс: 89 руб (9.5) МТС: 35 руб (11.98) Россети Москва: 0.14282 руб (11.07) Татнефть: 25.17 руб (3.51) Мосэнерго: 0.16038 руб (5.05) Инарктика: 10 руб (1.19) Газпромнефть: 19.49 руб (2.79) Сургутнефтегаз: ап 12.29 руб (18.34), ао 0.85 руб ( 2.9) Совкомбанк: 1.14 руб (6.73) Магнит 412.13 руб (6.51) Дивиденды за 2023 год не выплатят Газпром МТС-Банк Юнипро МКБ Русолово МФК Займер ДВМП Русснефть ОВК Полюс",0.05,0.0,0.9715909090909091,0.02840909090909091,0.225,neutral,neutral
62425,2024-07-03 13:08:30+00:00,"#ЦБРФ
Несмотря на высокие ставки, корпоративное кредитование увеличилось почти на 21% г/г — Набиуллина",['CBOM'],[],['CBOM'],False,CBOM,Московский Кредитный Банк,банк,industry,"ЦБРФ Несмотря на высокие ставки, корпоративное кредитование увеличилось почти на 21 гг Набиуллина",0.34615384615384615,0.0,0.7692307692307692,0.23076923076923078,0.3730769230769231,positive,positive
62553,2024-07-05 10:08:54+00:00,"**Какие публичные банки проигрывают и выигрывают от повышения ставки ЦБ?** #аналитика

На картинке: Динамика чистой процентной маржи (ЧПМ), начиная с 1 квартала 2023 года. Например, в 1 квартале 2023 ЧПМ Сбера была 5.78% (=100%), а в четвертом квартале 2023 6.26% (=108.3% от 1кв2023).

**Проигрывают**: ВТБ ([VTBR](https://neo.putinomics.ru/dashboard/VTBR/MOEX)), Совкомбанк (SVCB), МКБ (CBOM), МТС-банк (MBNK).

**Имеют слабый эффект**: Т-банк (TCSG), Сбер ([SBER](https://neo.putinomics.ru/dashboard/SBER/MOEX)).

**Выигрывают**: Банк Санкт-Петербург ([BSPB](https://neo.putinomics.ru/dashboard/BSPB/MOEX)).

😀 @AK47pfl","['MTSS', 'SBER', 'VTBR', 'CBOM']",[],"['SBER', 'MTSS', 'VTBR', 'CBOM']",True,CBOM,Московский Кредитный Банк,банк,industry,"Какие публичные банки проигрывают и выигрывают от повышения ставки ЦБ? аналитика На картинке: Динамика чистой процентной маржи (ЧПМ), начиная с 1 квартала 2023 года. Например, в 1 квартале 2023 ЧПМ Сбера была 5.78 (100), а в четвертом квартале 2023 6.26 (108.3 от 1кв2023). Проигрывают: ВТБ (, МКБ (CBOM), МТС-банк (MBNK). Имеют слабый эффект: Т-банк (TCSG), Сбер (SBER( Выигрывают: Банк Санкт-Петербург (BSPB( AK47pfl",0.06147540983606557,0.0,0.9590163934426229,0.040983606557377046,0.2307377049180328,neutral,positive
63266,2024-07-26 12:01:26+00:00,"#Макро
Высокие рыночные ставки поддерживают сберегательные настроения, но недостаточно сдерживают кредитование — ЦБ РФ","['CBOM', 'SBER']",[],"['SBER', 'CBOM']",False,CBOM,Московский Кредитный Банк,банк,industry,"Макро Высокие рыночные ставки поддерживают сберегательные настроения, но недостаточно сдерживают кредитование ЦБ РФ",0.11538461538461539,0.15384615384615385,0.6153846153846154,0.23076923076923078,0.2576923076923077,neutral,positive
63270,2024-07-26 12:07:49+00:00,"#Макро
Потребительское кредитование существенно росло на фоне увеличения доходов граждан — Набиуллина",['CBOM'],[],['CBOM'],False,CBOM,Московский Кредитный Банк,банк,industry,Макро Потребительское кредитование существенно росло на фоне увеличения доходов граждан Набиуллина,1.0,0.0,0.13636363636363624,0.8636363636363638,0.7,very positive,positive
